IC,NNG,JKB,JKS,NP,JX,MAG,VA,EC,VV,VX,XSN,VA-I,JKO,EF,VV-I,ETM,SF,VCP,XSA-I,XSV,VCN,XR,NNB,EP,MAJ,VV-R,SL,SN,MM,ETN,JKG,NNP,XSA,JC,NR,Z_CODA,JKC,XPN,VA-R,JKQ,JKV,SSC
저,행복감,한테,가,그거,는,자세히,똑같,어서,붙,주,들,그렇,를,거든요,,ᆯ,.,이,,하,,,적,었,그래서,,,,첫,,,,,,,,,,,,,
음,때,한테,가,거기,만,안,크,지만,사,주,들,아깝,을,어요,,ᆯ,.,이,,하,,,번,었,그래서,,,,그런,,,,,,,,,,,,,
아,때,한테,이,우리,는,안,넓,어,하,지,들,아깝,을,어,,는,.,이,,하,,,평,었,그래서,,,,한,,,,,,,,,,,,,
이제,동물,한테,이,저,는,막,빡세,고,닿,있,들,아깝,을,고,,ᆯ,.,이,,되,,,거,었,그리고,,,,한,,,,,,,,,,,,,
그,수준,으로,가,우리,은,이만큼,재밌,나,붙이,말,들,아깝,을,잖아,,ᆫ,.,이,,,,,년,었,그래서,,,,이,,,,,,,,,,,,,
야,친밀감,에다가,가,뭐,은,안,어리,지만,보,있,씩,아깝,를,더라고,,ᆯ,.,이,,,,,년,었,그래서,,,,이,,,,,,,,,,,,,
뭐,얼마,에,가,그것,은,왜,같,어,그러,않,들,아깝,를,어,,는,.,이,,,,,중,시,근데,,,,그런,,,,,,,,,,,,,
쌍,전,에,가,나,는,안,없,고,그러,주,들,어떻,을,어요,,던,?,이,,,,,거,었,근데,,,,그,,,,,,,,,,,,,
그,때,으로,이,뭐,는,안,없,나,만들,가지,들,부럽,를,거든요,,은,.,이,,,,,것,었,그리고,,,,그런,,,,,,,,,,,,,
아니,노숙자,으로,가,나,은,안,나쁘,어,그러,가지,들,,ᆯ,어요,,ᆫ,.,이,,,,,거,었,또,,,,그런,,,,,,,,,,,,,
저,강아지,에,가,우리,는,다,없,고,부르,하,들,,을,네,,는,.,이,,,,,거,었었,그런데,,,,그,,,,,,,,,,,,,
아,다음,에서,가,나,는,안,좋,어,보,하,들,,을,거든,,ᆯ,.,이,,,,,것,었었,그럼,,,,그,,,,,,,,,,,,,
뭐,할머니,으로,이,이거,는,새로,같,어도,미치,오,들,,을,거든,,ᆫ,.,이,,,,,거,었,그럼,,,,그,,,,,,,,,,,,,
어,할아버지,에,가,자기,는,그냥,있,고,들,않,들,,을,더라고,,ᆯ,?,이,,,,,수,었,근데,,,,한,,,,,,,,,,,,,
그,단칸방,에서,가,나,만,좀,있,니까,하,있,들,,을,어요,,는,.,이,,,,,쪽,었,근데,,,,이,,,,,,,,,,,,,
아,고양이,에,이,우리,은,이렇게,같,어서,가,가,들,,을,어요,,ᆯ,.,이,,,,,쪽,었,근데,,,,그,,,,,,,,,,,,,
아,사진,으로,가,거기,은,하여튼,같,면,맞추,보,들,,을,은데,,던,.,이,,,,,것,었,근데,,,,그,,,,,,,,,,,,,
음,때,으로,가,나,는,아까,옳,은데,추,지,들,,을,지,,은,.,이,,,,,때문,었,근데,,,,그,,,,,,,,,,,,,
그,강아지,보고,이,나,는,요새,같,어서,나,하,들,,를,어요,,ᆫ,.,이,,,,,터,었,근데,,,,내,,,,,,,,,,,,,
뭐,행복,하고,이,너,는,따로,없,게,보,하,들,,ᆯ,더라고,,ᆫ,?,이,,,,,것,었,그래서,,,,그,,,,,,,,,,,,,
그,생각,에,이,나,는,같이,있,게,이러,하,적,,을,더라고,,는,.,이,,,,,거,었,그래도,,,,그,,,,,,,,,,,,,
뭐,반려,서부터,가,나,거나,또,그,고,하,싶,들,,를,ᆫ다,,는,.,이,,,,,것,시,그래서,,,,내,,,,,,,,,,,,,
뭐,동물,에,이,누구,는,각자,있,고,줄어들,싶,들,,를,어,,은,.,이,,,,,거,었,그리고,,,,이,,,,,,,,,,,,,
어,때,에,이,나,나,그냥,다르,어서,지나,가지,들,,를,지,,ᆯ,.,이,,,,,것,었,근데,,,,내,,,,,,,,,,,,,
아,말,에,가,나,는,또,같,어서,위하,버리,들,,를,ᆫ가,,ᆯ,.,이,,,,,쪽,었,그리고,,,,그,,,,,,,,,,,,,
내,마음,에서,가,그거,는,다,급하,어서,살,있,들,,를,어,,는,.,이,,,,,거,었,그리고,,,,내,,,,,,,,,,,,,
자,지갑,로,이,너,도,자세히,크,면,들,가지,님,,을,더라고,,ᆯ,.,이,,,,,개,었,그래서,,,,이런,,,,,,,,,,,,,
아,상황,에,이,나,는,다,싫,고서,바뀌,하,들,,을,어,,ᆯ,.,이,,,,,것,었,그러니까,,,,그,,,,,,,,,,,,,
음,반려동물,에,이,나,도,참,있,고,그러,주,들,,ᆯ,더라고,,ᆯ,.,이,,,,,거,었,또,,,,그,,,,,,,,,,,,,
어,비용,으로,이,뭐,는,너무,다르,으면,하,가지,님,,을,어,,ᆯ,.,이,,,,,원,었,그러니까,,,,어떤,,,,,,,,,,,,,
그,소요,으로,가,이거,는,좀,있,게,사,싶,들,,를,어,,ᆯ,.,이,,,,,씨,었,그러니까,,,,그,,,,,,,,,,,,,
그,병원,로,가,여기,까지,하여간,있,니까,들어가,보,들,,를,지,,ᆯ,?,이,,,,,거,었,또,,,,어떤,,,,,,,,,,,,,
그,기본,하고,이,이거,까지,안,똑같,어서,살,보,님,,을,다,,는,.,이,,,,,것,겠,그러면,,,,그,,,,,,,,,,,,,
아,병,에,이,너,는,안,좋,다,하,있,들,,을,다,,는,.,이,,,,,거,겠,근데,,,,이,,,,,,,,,,,,,
어,이상,하고,가,너,는,아예,좋,어,다니,주,적,,을,어,,ᆫ,?,이,,,,,수,었,그런데,,,,그런,,,,,,,,,,,,,
뭐,소용,하고,이,너희,ᆫ,그냥,없,라고,알,하,들,,ᆯ,어,,ᆫ,.,이,,,,,것,었,또,,,,그,,,,,,,,,,,,,
그,기본,에,이,너,는,그냥,괜찮,ᆫ데,넘어지,놓,들,,을,을까,,는,.,이,,,,,것,었었,또,,,,그,,,,,,,,,,,,,
뭐,부분,보다,가,너희,야,같이,많,면,다니,가지,이,,을,더라고,,은,?,이,,,,,것,었,또,,,,이,,,,,,,,,,,,,
그,정도,에서,가,너,는,이렇게,재밌,어,들,않,형,,을,어,,ᆯ,.,이,,,,,거,겠,그러면서,,,,그,,,,,,,,,,,,,
어,자금력,에,가,너,ᆫ,지금,있,어,오,보,형,,을,잖아,,ᆯ,.,이,,,,,데,시,그러니까,,,,이런,,,,,,,,,,,,,
뭐,반려,에서,가,너,는,다,짧,고,하,하,형,,을,어,,는,?,이,,,,,것,었,그리고,,,,그,,,,,,,,,,,,,
어,동물,하고,가,너,는,그냥,소소하,고,있,보,들,,을,야,,은,.,이,,,,,거,었,근데,,,,그,,,,,,,,,,,,,
뭐,주인,에,이,나,도,그만,크,라,나오,보,들,,를,지,,은,?,이,,,,,가지,었,그러니까,,,,그,,,,,,,,,,,,,
뭐,자체,에,이,나,은,절대,괜찮,어서,하,싶,형,,을,지,,을,.,이,,,,,거,었,근데,,,,이,,,,,,,,,,,,,
아,동물,에,이,너,은,안,같,는지,하,보,형,,를,어,,은,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
뭐,행복도,서,가,나,ᆫ,또,좋,든,나,싶,이,,를,더라고,,ᆯ,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
어,좌우,에서,이,그것,는,당연히,좋,어,그러,보,들,,을,어,,는,.,이,,,,,거,었,그래도,,,,다른,,,,,,,,,,,,,
아니,생각,이랑,이,우리,는,그냥,좋,면,들어서,하,들,,을,다,,는,.,이,,,,,것,었,그래도,,,,그,,,,,,,,,,,,,
뭐,앞,에,가,그거,뿐,당당,있,고,되,가지,화,,ᆯ,어,,ᆫ,.,이,,,,,거,었,그래도,,,,이런,,,,,,,,,,,,,
뭐,만약,랑,가,그거,은,그냥,좋,어,모으,가지,이,,를,지,,ᆯ,.,이,,,,,것,시,그래서,,,,그런,,,,,,,,,,,,,
그,반려동물,으로,가,나,은,그냥,있,다고,하,오,들,,를,다,,을,.,이,,,,,때문,었,근데,,,,그런,,,,,,,,,,,,,
어,동물,에,가,누구,도,그냥,좋,는데,그러,가지,들,,를,어,,을,.,이,,,,,것,었,근데,,,,그,,,,,,,,,,,,,
뭐,고양이,에,이,누구,까지,그렇게,좋,어,되,오,들,,를,다고,,는,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
어,고양이,에,이,우리,도,이제,어리,어서,있,가지,들,,을,지,,는,.,이,,,,,거,시,근데,,,,한,,,,,,,,,,,,,
뭐,만족감,보다,이,나,은,인제,어리,으면,지나가,가지,들,,을,지,,는,.,이,,,,,것,었,그래서,,,,이런,,,,,,,,,,,,,
어,강아지,에,가,그거,는,안,좋,게,들,지,들,,ᆯ,다고,,ᆫ,.,이,,,,,것,시,근데,,,,그런,,,,,,,,,,,,,
어,강아지,에,가,나,ᆫ,그냥,좋,어,지나,하,적,,을,다,,는,.,이,,,,,수,시,근데,,,,그,,,,,,,,,,,,,
이,치,에서,이,그것,는,못,좋,어도,나,가지,들,,를,잖아,,ᆯ,.,이,,,,,쪽,었,근데,,,,그,,,,,,,,,,,,,
아,근대,보다,이,거기,이라든가,못,좋,라고,그러,가,들,,를,어,,을,.,이,,,,,거,었,그리고,,,,한,,,,,,,,,,,,,
그,부분,ᆯ로,가,너,도,왜,좋,지,사,주,들,,을,야,,은,.,이,,,,,수,었,근데,,,,그런,,,,,,,,,,,,,
그,고양이,과,이,너희,도,못,좋,어서,되,놓,들,,을,어,,을,.,이,,,,,통,었,그래서,,,,한,,,,,,,,,,,,,
아니,새침,로,이,너희,도,당연히,좋,라면,하,가,들,,을,어,,는,.,이,,,,,거,시,그래도,,,,오랜,,,,,,,,,,,,,
그,다음,에,이,너희,는,하여튼,좋,어,들어가,놓,들,,을,야,,는,.,이,,,,,거,었,근데,,,,별,,,,,,,,,,,,,
뭐,시간,에,이,그거,는,물론,좋,고,되,주,이,,를,더라고,,ᆫ,.,이,,,,,것,었,근데,,,,그런,,,,,,,,,,,,,
뭐,정확,에,가,그거,도,쪼끔,젊,고,그러,가지,별,,를,지,,ᆫ,.,이,,,,,거,었,그러니까,,,,아무,,,,,,,,,,,,,
뭐,성향,한테,이,너희,는,안,있,어,되,싶,들,,을,다,,ᆫ,.,이,,,,,거,었,그러니까,,,,어떤,,,,,,,,,,,,,
뭐,사랑,으로,가,뭐,도,아예,많,면,어쩌,있,들,,을,잖아,,는,.,이,,,,,거,었,근데,,,,그,,,,,,,,,,,,,
어,때,랑,가,그것,ᆫ,아까,많,고,모이,말,들,,을,지,,ᆫ,.,이,,,,,수,었,근데,,,,그,,,,,,,,,,,,,
뭐,사랑,보다,가,우리,는,많이,있,어,살,있,들,,을,잖아,,는,.,이,,,,,거,었,그러니까,,,,그,,,,,,,,,,,,,
뭐,시간,에,가,우리,는,솔직히,좋,고,지나,싶,들,,을,어,,는,.,이,,,,,거,었,그러니까는,,,,그런,,,,,,,,,,,,,
뭐,필요,으로,이,그것,는,잘,좋,나,하,지,들,,을,어,,ᆫ,.,이,,,,,거,었,그래서,,,,어떤,,,,,,,,,,,,,
어,때,으로,가,저,도,그냥,다르,면,사,보,들,,을,어,,을,.,이,,,,,것,었,근데,,,,다른,,,,,,,,,,,,,
에,시간,하고,가,저,만,같이,좋,다고,보,않,들,,를,어,,ᆫ,?,이,,,,,거,었,그래서,,,,그런,,,,,,,,,,,,,
저,부분,서,가,어디,도,원래,없,게,되,주,들,,을,더라고,,는,.,이,,,,,거,었,그러니까,,,,그,,,,,,,,,,,,,
그,고양이,으로,이,자기,만,같이,같,는데,되,싶,들,,를,어,,ᆯ,.,이,,,,,거,시,그래서,,,,어떤,,,,,,,,,,,,,
뭐,성향,처럼,이,저,는,사실,있,어,사,놓,들,,를,어,,은,.,이,,,,,거,었,그럼,,,,어떤,,,,,,,,,,,,,
아,요새,보다,이,자기,ᆫ,안,크,면,하,가지,들,,을,네,,는,.,이,,,,,수,었,그럼,,,,어떤,,,,,,,,,,,,,
인제,랜,에,가,나,는,안,힘들,지,살,않,들,,를,야,,는,.,이,,,,,수,시,근데,,,,어떤,,,,,,,,,,,,,
어,선,으로,가,저,는,요즘,같,고,오,가지,들,,을,잖아,,는,.,이,,,,,간,시,그러니까,,,,한,,,,,,,,,,,,,
인제,집사,으로,이,쟤,도,워낙에,어리,어,있,놓,들,,을,어,,는,.,이,,,,,중,었,그래서,,,,두,,,,,,,,,,,,,
인제,동물,에,가,저,도,인제,같,어서,대,있,별,,을,구나,,ᆯ,.,이,,,,,수,었,그래서,,,,어떤,,,,,,,,,,,,,
뭐,관련,에,이,우리,도,이제,뒤늦,고,하,가지,들,,를,더라고,,는,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
그,고양이,에,가,이것,도,워낙,어리,어,오,보,이,,을,다고,,은,.,이,,,,,것,었,근데,,,,어떤,,,,,,,,,,,,,
어,고양이,에서,가,자기,는,그냥,좋,어야,나,보,치,,을,어,,는,.,이,,,,,거,었,그리고,,,,그런,,,,,,,,,,,,,
어,음,에서,가,저,는,참,많,라고,나르,보,네,,를,구나,,ᆫ,.,이,,,,,것,었,그래서,,,,그런,,,,,,,,,,,,,
뭐,집사,이랑,가,저,은,같이,좋,고,살,하,들,,을,지,,은,.,이,,,,,개,었,근데,,,,어떤,,,,,,,,,,,,,
이,지금,서,이,거기,만,많이,맛있,어서,깔,갖,별,,을,어,,는,.,이,,,,,거,겠,그러니까,,,,그런,,,,,,,,,,,,,
어,생각,에,가,그거,다,사실,좋,면,내,않,들,,ᆯ,잖아,,ᆫ,.,이,,,,,것,었었,그래서,,,,그,,,,,,,,,,,,,
그래,부분,에서,가,거,는,잘,있,면,내,하,성,,을,야,,는,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
뭐,생각,에,가,그거,만,안,없,고,오래되,오,들,,를,잖아,,ᆯ,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
에,강아지,에,가,저,도,지금,습하,어,하,하,적,,ᆯ,잖아,,은,?,이,,,,,거,겠,그러니까,,,,그런,,,,,,,,,,,,,
어,경험,에서,가,저,도,안,힘들,고,보,하,들,,을,잖아,,ᆫ,?,이,,,,,거,으시,근데,,,,그런,,,,,,,,,,,,,
뭐,경험,에,이,저,ᆫ,이렇게,있,어,나오,하,들,,을,지,,ᆫ,.,이,,,,,거,었,근데,,,,어떤,,,,,,,,,,,,,
어,친구,보다,이,나,요,약간,편하,지만,살,보,들,,을,야,,을,.,이,,,,,거,었,근데,,,,어떤,,,,,,,,,,,,,
오,인생,으로,이,저,는,많이,좋,면,만들,있,들,,을,지,,ᆯ,.,이,,,,,거,었,그러니까,,,,어떤,,,,,,,,,,,,,
뭐,아픔,에,가,이거,는,안,같,게,하,싶,들,,을,거든,,ᆫ,.,이,,,,,쪽,었,그래서,,,,그,,,,,,,,,,,,,
뭐,앞,처럼,이,저,는,되게,좋,고,살,주,들,,을,더라고,,는,.,이,,,,,거,었,그리고,,,,그,,,,,,,,,,,,,
뭐,가족,에,이,우리,ᆫ,또,맛있,게,들,주,들,,을,어,,ᆫ,.,이,,,,,거,었,그러니까는,,,,어떤,,,,,,,,,,,,,
저기,협의,에,가,나,은,많이,중하,면,그러,싶,들,,을,나,,는,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
어,만약,에,이,거기,는,오래,좋,게,스,싶,들,,을,대,,ᆫ다는,.,이,,,,,데,었,근데,,,,그,,,,,,,,,,,,,
뭐,사실,에,가,자기,은,지금,없,어서,보,보,이,,을,대,,ᆫ,.,이,,,,,데,었,그리고,,,,그,,,,,,,,,,,,,
아,강아지,에서,이,자기,는,얼마나,있,으면,보이,싶,이,,을,더라고,,는,.,이,,,,,것,었,그래서,,,,그런,,,,,,,,,,,,,
음,한번,에,가,이것,는,다,어리,고,보,있,들,,을,어,,ᆫ,.,이,,,,,데,었,근데,,,,그런,,,,,,,,,,,,,
뭐,사실,로,이,그거,도,별로,좋,면,쓰,하,들,,ᆯ,어,,는,.,이,,,,,거,었,그리고,,,,어떤,,,,,,,,,,,,,
음,간,에서,이,저,도,왜,좋,고,쓰,있,들,,을,어,,ᆯ,.,이,,,,,번,으시,그래도,,,,그런,,,,,,,,,,,,,
뭐,친구,보다,이,그것,는,지금,없,어서,되,보,들,,을,어,,는,.,이,,,,,시간,었,그런데,,,,그런,,,,,,,,,,,,,
그,친구,랑,가,그거,는,한참,비싸,게,내,싶,들,,을,어,,는,.,이,,,,,것,시,그래도,,,,그런,,,,,,,,,,,,,
뭐,앞,한테,가,저,도,특히,있,라고,되,보,이,,을,고,,ᆫ,?,이,,,,,것,겠,그래서,,,,여러,,,,,,,,,,,,,
음,학습,에,이,자기,는,제대로,있,는데,나오,싶,들,,을,지,,는,.,이,,,,,것,었,근데,,,,어떤,,,,,,,,,,,,,
뭐,부분,보다,이,뭐,ᆫ,못,같,어서,보,보,들,,를,지,,는,.,이,,,,,것,었,그러니까,,,,그,,,,,,,,,,,,,
인제,얼마,로,이,이거,ᆫ,거의,괜찮,게,나오,싶,들,,을,야,,는,.,이,,,,,것,었,그래서,,,,그,,,,,,,,,,,,,
뭐,전,에,가,그거,도,더,크,고,되,하,들,,을,더라고,,은,.,이,,,,,것,었,근데,,,,그런,,,,,,,,,,,,,
어,이슈,에,이,거기,는,못,있,게,되,보,들,,을,어,,은,.,이,,,,,것,었,그래서,,,,어느,,,,,,,,,,,,,
뭐,부분,에,이,그거,도,열심히,많,어,되,싶,들,,ᆯ,더라고,,을,.,이,,,,,식,었,그리고,,,,그런,,,,,,,,,,,,,
뭐,생각,에서,가,우리,은,별로,좋,고,들어가,보,들,,을,거든,,ᆫ,?,이,,,,,거,었,그러니까,,,,그,,,,,,,,,,,,,
어,엔터테이먼트적으로,에,이,나,도,별로,있,지만,되,싶,들,,을,다,,은,.,이,,,,,거,겠,그래서,,,,그런,,,,,,,,,,,,,
어,사람,에서,가,나,는,참,같,고,되,있,이,,를,지,,은,.,이,,,,,것,었,그래서,,,,이,,,,,,,,,,,,,
뭐,생각,에,가,그것,도,한참,많,어서,쓰,않,들,,을,어,,을,.,이,,,,,거,시,그리고,,,,그,,,,,,,,,,,,,
아이,처음,에,가,그거,만,좀,같,고,하,보,들,,를,어,,ᆫ,.,이,,,,,데,었,그래서,,,,어떤,,,,,,,,,,,,,
어,생각,로,가,자기,은,너무,같,니까,하,않,들,,을,어,,ᆫ,.,이,,,,,거,시,그래서,,,,그런,,,,,,,,,,,,,
뭐,사람,에서,가,나,는,쪼끔,크,고,변하,있,끼리,,를,다,,ᆫ,.,이,,,,,것,었,근데,,,,그,,,,,,,,,,,,,
하,동물,보다,이,그거,도,더,있,어,크,있,들,,를,자,,는,.,이,,,,,거,었,그러니까,,,,그,,,,,,,,,,,,,
자,상황,에,이,우리,도,굉장히,뜻깊,지,갖,않,형,,을,자,,을,.,이,,,,,대로,었,그러니까,,,,그런,,,,,,,,,,,,,
뭐,상황,이랑,가,거기,도,스스로,같,으니까,살,않,들,,을,어,,는,?,이,,,,,수,었,근데,,,,그,,,,,,,,,,,,,
어,교정,처럼,이,저,도,굉장히,있,고,하,있,형,,을,잖아,,는,.,이,,,,,거,시,그리고,,,,그,,,,,,,,,,,,,
뭐,문제,에,이,자기,요,많이,좋,고,하,있,들,,를,어,,은,.,이,,,,,것,었,근데,,,,어떤,,,,,,,,,,,,,
뭐,생각,에,이,나,도,안,같,니까,되,보,이,,을,야,,ᆯ,.,이,,,,,거,었,그리고,,,,그런,,,,,,,,,,,,,
뭐,전문가,에서,가,그거,도,많이,괜찮,어,하,보,들,,을,잖아,,던,.,이,,,,,데,었,근데,,,,그런,,,,,,,,,,,,,
저,문제,에,이,무엇,도,다,좋,면,하,보,끼리,,을,잖아,,는,.,이,,,,,것,었,그리고,,,,그런,,,,,,,,,,,,,
뭐,문제,랑,가,어디,은,쪼끔,좋,지,되,가지,끼리,,을,야,,은,.,이,,,,,수,었,그리고,,,,그런,,,,,,,,,,,,,
뭐,판단,으로,가,이것,은,약간,좋,고,맞,있,들,,를,야,,ᆫ,.,이,,,,,거,었,근데,,,,그,,,,,,,,,,,,,
뭐,개선,랑,이,이거,는,막,좋,고,하,가지,이,,를,어,,는,.,이,,,,,거,었,그러니깐,,,,그,,,,,,,,,,,,,
뭐,부분,으로,가,저,ᆫ,못,없,니까,되,놓,이,,을,어,,은,.,이,,,,,년,시,근데,,,,어떤,,,,,,,,,,,,,
응,이슈,으로,이,우리,은,잘,어리,게,버티,있,적,,을,지,,ᆫ,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
어,경우,에,가,저,이나,안,크,어,버티,주,적,,를,어,,ᆯ,.,이,,,,,년,었,그래서,,,,그런,,,,,,,,,,,,,
어,사람,에,이,저,는,더,있,게,하,보,적,,를,야,,는,.,이,,,,,년,었,그러니까,,,,그런,,,,,,,,,,,,,
응,부분,에,가,나,은,참,없,어서,시키,주,적,,을,야,,는,.,이,,,,,지,었,그러니까,,,,어떤,,,,,,,,,,,,,
저,반려,에,이,나,도,쪼끔,있,고,생기,가지,들,,를,잖아,,는,.,이,,,,,년,시,그래도,,,,그런,,,,,,,,,,,,,
저,동물,서,가,우리,는,좀,재밌,으니까,살,가지,이,,를,잖아,,을,.,이,,,,,거,겠,근데,,,,그,,,,,,,,,,,,,
그,교,한테,이,그거,는,완전,없,면,만들,보,들,,를,야,,을,.,이,,,,,것,었,근데,,,,그,,,,,,,,,,,,,
뭐,교육,에,이,언제,도,쪼금,없,어,하,오,이,,를,어,,는,.,이,,,,,것,었,그러니까,,,,그,,,,,,,,,,,,,
아,필요,이랑,가,저,도,잘,많,고,시키,보,들,,를,더라고,,는,.,이,,,,,것,었,그래도,,,,이런,,,,,,,,,,,,,
어,본인,으로,이,저,도,좀,다르,어서,하,가지,이,,를,어요,,는,.,이,,,,,거,었,그러니까,,,,그,,,,,,,,,,,,,
에,교육,에서,가,우리,는,잘,없,고,하,주,적,,을,잖아요,,는,.,이,,,,,가지,었,근데,,,,그런,,,,,,,,,,,,,
에,필요,로,이,이것,도,안,없,고,하,갖,적,,를,더라고,,은,.,이,,,,,것,었,그리고,,,,한,,,,,,,,,,,,,
이,부분,랑,이,우리,는,잘,있,고,하,가지,들,,를,고,,는,.,이,,,,,때문,시,근데,,,,그런,,,,,,,,,,,,,
뭐,긍정,에,이,우리,는,안,재밌,고,낳,갖,들,,을,다,,던,.,이,,,,,월,었었,그러니까,,,,그런,,,,,,,,,,,,,
뭐,생각,에,가,저,도,먼저,없,게,하,보,네,,을,어요,,는,.,이,,,,,것,었,근데,,,,고런,,,,,,,,,,,,,
뭐,사람,으로,이,거기,는,참,재밌,고,낳,싶,들,,을,ᆯ래,,다는,.,이,,,,,월,었,그래도,,,,그런,,,,,,,,,,,,,
뭐,자체,한테,이,그거,도,잘못,없,으면,기다리,하,적,,을,어요,,던,.,이,,,,,월,었,근데,,,,그런,,,,,,,,,,,,,
뭐,인성,에,가,그거,도,지금,좋,어서,기다리,않,님,,을,지,,은,.,이,,,,,택,었,그러니까,,,,내,,,,,,,,,,,,,
뭐,부분,에,이,저,는,먼저,좋,어야,하,않,적,,을,어요,,라는,.,이,,,,,년,었,근데,,,,그,,,,,,,,,,,,,
인제,문제,하고,이,이거,은,많이,똑같,고,그러,보,층,,을,다,,은,.,이,,,,,데,었,그러니까,,,,그,,,,,,,,,,,,,
음,부분,에,가,저,도,더,재밌,어,대하,버리,적,,을,어요,,은,.,이,,,,,년,었,그러니까,,,,어떤,,,,,,,,,,,,,
어,회사,에서,이,거,은,지금,크,다,하,지,적,,을,다,,던,.,이,,,,,년,었,그러니까,,,,네,,,,,,,,,,,,,
아,여타,서,이,나,도,너무,없,면은,맞추,나,적,,를,잖아요,,던,.,이,,,,,년,었,근데,,,,이,,,,,,,,,,,,,
그,행동,에,이,그거,는,안,좋,고,맞,보,적,,을,어요,,던,.,이,,,,,거,었,근데,,,,이,,,,,,,,,,,,,
아,사람,에,가,자기,까지,많이,많,다,넘,가지,들,,을,다고,,ᆫ,.,이,,,,,거,었,근데,,,,무슨,,,,,,,,,,,,,
뭐,부분,에,가,거기,ᆫ,많이,같,면,하,보,들,,을,죠,,을,.,이,,,,,개,었,왜냐하면,,,,그런,,,,,,,,,,,,,
뭐,생각,에,가,누구,는,지금,많,니까,가지,가지,들,,을,더라고요,,는,.,이,,,,,데,었,그러니까,,,,이런,,,,,,,,,,,,,
뭐,처음,한테,가,자기,도,굳이,있,든지,하,가지,적,,를,죠,,는,.,이,,,,,거,었,아니면,,,,이런,,,,,,,,,,,,,
그,등장,에,이,나,ᆫ,많이,없,든,있,보,님,,을,어요,,던,.,이,,,,,데,었,그럼,,,,이런,,,,,,,,,,,,,
뭐,때,에,가,나,는,굳이,있,든지,달라지,지,님,,을,다,,는,.,이,,,,,거,었,근데,,,,내,,,,,,,,,,,,,
어,신,서,가,우리,만,안,괜찮,어,하,있,생,,ᆯ,거든요,,다는,.,이,,,,,거,시,근데,,,,그,,,,,,,,,,,,,
뭐,생각,에,가,그것,도,더,있,으면,하,않,들,,을,느냐고,,ᆫ,.,이,,,,,거,었,그리고,,,,이런,,,,,,,,,,,,,
어,전,보다,이,나,는,당연히,크,고,하,싶,들,,을,더라고,,는,.,이,,,,,바람,겠,그래,,,,첫,,,,,,,,,,,,,
이,책,에,이,나,는,또,궁금하,고,정하,보,적,,을,더라고,,은,.,이,,,,,것,었,그래서,,,,그런,,,,,,,,,,,,,
뭐,눈,로,이,나,은,그만큼,있,고,오,보,들,,을,에요,,은,.,이,,,,,거,시,그러니까,,,,그런,,,,,,,,,,,,,
인제,이슈,서,이,이것,는,못,있,어서,보,주,님,,ᆯ,예요,,던,.,이,,,,,거,었,근데,,,,어느,,,,,,,,,,,,,
뭐,처음,에,이,나,도,굳이,난감하,게,놀래,하,들,,을,죠,,은,.,이,,,,,중,었,근데,,,,그,,,,,,,,,,,,,
뭐,때,에,가,거기,는,안,같,어도,되,하,성,,을,어요,,은,.,이,,,,,것,었,근데,,,,그,,,,,,,,,,,,,
인제,실망,으로,이,거기,는,지금,같,어도,보,싶,님,,을,어요,,ᆫ,.,이,,,,,것,시,그러니까,,,,딴,,,,,,,,,,,,,
이,이슈,에,이,그분,는,참,있,고,하,않,들,,을,느냐,,는,.,이,,,,,거,었,근데,,,,그런,,,,,,,,,,,,,
인제,몰이,로,이,거기,는,딱,같,지,나,싶,들,,을,죠,,는,.,이,,,,,거,었,그러니까,,,,그,,,,,,,,,,,,,
음,사람,으로,가,그거,는,안,좋,는데,하,지,들,,을,거든요,,는,.,이,,,,,거,었,그런데,,,,그런,,,,,,,,,,,,,
저,입장,으로,가,우리,도,많이,같,는다고,빌리,지,들,,를,는데,,은,.,이,,,,,거,었,그러니까,,,,그,,,,,,,,,,,,,
뭐,이야기,으로,이,나,는,굳이,같,어서,하,싶,들,,을,어요,,ᆫ,.,이,,,,,거,겠,근데,,,,그,,,,,,,,,,,,,
에,부분,에,이,우리,는,많이,젊,어,가,하,들,,를,더라고요,,은,.,이,,,,,거,겠,그래도,,,,그런,,,,,,,,,,,,,
음,처음,에,이,뭐,까지,더,힘들,ᆫ다고,먹,않,들,,을,더라고,,ᆫ,.,이,,,,,중,었,그래서,,,,이런,,,,,,,,,,,,,
뭐,침묵,에,가,그것,도,오죽,같,지,먹,가지,들,,을,예요,,은,.,이,,,,,거,겠,그러면,,,,그,,,,,,,,,,,,,
뭐,판단,에,이,나,도,진짜,있,ᆫ가,들,계시,들,,을,죠,,ᆫ,.,이,,,,,일,었,그러니까,,,,몇,,,,,,,,,,,,,
