VV,ECS,NNG,JKM,JKS,NP,JX,MAG,XR,XSA,ETD,NNB,ECD,XSN,VA,JKO,ECE,SF,XSV,EFN,VCP,MAC,EPT,VCN,OL,NR,NNM,MDT,ETN,UN,EFQ,VXV,MDN,VX,IC,EFA,NNP,VXA,EPH,JC,JKG,JKC,EFI,JKQ,JKI,EFO,XPN,SS
있,어,비,에,이,그거,는,빨리,,,ㄴ,데,는데,장이,많,를,ㄴ다고,.,하,거든요,이,그래서,더,,,90,분,그,,취준생으,,주,,,,,,,,,,,,,,,,
있,지,티,로,이,그거,은,근데,,,은,것,아서,들,그렇,을,고,.,하,어요,이,그래서,더,,,80,대,그,,인제,,보,,,,,,,,,,,,,,,,
그러,어,아이,로,가,나,는,사실,,,는,때문,아,성,그,을,고,.,하,네,이,그래서,었,,,20,시,이,,많으면,,보,,,,,,,,,,,,,,,,
오,다,검사,에,이,그것,는,좀,,,ㄴ,것,ㄹ라,들,어떻,를,고,.,하,에요,이,그렇지만,었,,,만,시,그,,응,,주,,,,,,,,,,,,,,,,
드,ㄴ가,기억,로,이,그것,는,이렇게,,,ㄴ,것,니까,들,같,을,ㄴ데,.,하,ㄴ다,이,그래서,였,,,200,주,이,,많았어도,,말,,,,,,,,,,,,,,,,
하,어,검사,에,가,당신,은,좀,,,ㄴ,것,아,끼리,그렇,을,고,.,하,거든요,이,그리고,었,,,300,건,그,,근처잖,,가지,,,,,,,,,,,,,,,,
그러,아,기억,에,가,당신,은,근데,,,ㄴ,터,지,끼리,많,을,고,.,하,아요,이,그래서,겠,,,400,건,그,,으,,않,,,,,,,,,,,,,,,,
들,아,은,로,이,당신,는,더,,,ㄴ,년,는데,들,다르,한테,고,.,하,어요,이,그런데,았,,,500,년,그,,휴,,가지,,,,,,,,,,,,,,,,
그러,어,그때,로,이,나,은,좀,,,ㄹ,년,는데,들,벌,를,고,.,하,어요,이,그래서,겠,,,10,년,그,,했어도,,버리,,,,,,,,,,,,,,,,
느,어,당시,로,이,뭐,는,약간,,,라는,것,지,들,빠르,를,고,.,하,에요,이,그래서,었,,,50,년,그,,랄,,나,,,,,,,,,,,,,,,,
아,어,선택적,으로,가,나,는,좀,,,ㄴ,거,는데,들,들,을,고,.,하,어요,이,그래서,었,,,100,년,그,,얘,,가지,,,,,,,,,,,,,,,,
막히,어,검사,에,가,뭐,는,안,,,는,것,니까,님,늦,를,고,.,하,잖아요,이,그래서,었,,,1,군데,그런,,걔,,내,,,,,,,,,,,,,,,,
떠오르,어,검사,에,이,자기,를,이제,,,ㄴ,수,니까,들,빠르,을,고,.,하,거든요,이,그렇지만,더,,,2,도,그런,,종교잖,,가지,,,,,,,,,,,,,,,,
있,어,구체적,서,가,나,도,이제,,,ㄴ,것,아야,들,같,을,고,.,하,어요,이,그래서,겠,,,1,바퀴,그,,응,,주,,,,,,,,,,,,,,,,
적이,어,기억,에,가,뭐,은,이제,,,ㄴ,것,은데,들,어떻,를,고,.,하,거든요,이,그래서,았,,,1,시간,그,,걔,,주,,,,,,,,,,,,,,,,
떠오르,어,나지,서,이,그,는,완전히,,,는,줄,지,들,같,을,고,.,하,어요,이,그러니까,였,,,1.5,시간,그런,,얘,,있,,,,,,,,,,,,,,,,
있,아,쯤,에,이,나,도,근데,,,ㄴ,쪽,니까,들,같,을,며,.,하,잖아요,이,그래서,었,,,1,건,그,,얘,,있,,,,,,,,,,,,,,,,
그러,어,경험,처럼,가,뭐,도,꼭,,,ㄹ,것,라고,들,그렇,를,며,.,하,라고요,이,그래서,더,,,1,명,그,,딩크족,,있,,,,,,,,,,,,,,,,
들이,어,생각,서,가,자기,는,인제,,,는,데,니까,적,많,을,고,.,하,라고요,이,그래서,더,,,2,명,그,,야죠,,있,,,,,,,,,,,,,,,,
보,고,대학교,로,이,누구,도,다,,,은,나름,어도,들,어딨,을,다면,.,하,더라,이,그래서,겠,,,세이,대,그,,얘기를,,않,,,,,,,,,,,,,,,,
보,아,학년,에,이,당신,는,이제,,,ㄴ,번,니까,들,같,를,고,.,하,요,이,그러면,았,,,8,박,그,,휴,,보,,,,,,,,,,,,,,,,
대하,ㄴ다,때,에,가,당신,는,이제,,,는,나름,게,들,그,한테,고,.,하,어요,이,그러면,었,,,15,일,그,,땡스,,가지,,,,,,,,,,,,,,,,
보,지,철,에,이,당신,나,좀,,,는,것,어서,들,어리,한테,고,.,하,대요,이,그래서,었,,,16,박,몇,,어떻게,,나,,,,,,,,,,,,,,,,
요러,어,학과,에서,가,자기,는,굉장히,,,ㄴ,지,게,들,좋,을,고,.,하,어요,이,그래서,였,,,17,일,그,,념하,,있,,,,,,,,,,,,,,,,
대하,어,연관,으로,이,그것,는,좀,,,ㄴ,데,아,들,괜찮,을,고,.,하,어요,이,그래서,었,,,1,박,그,,응,,보,,,,,,,,,,,,,,,,
하,아,과,로,이,나,도,그냥,,,는,것,니까,들,같,를,고,.,시키,네요,이,그래서,었,,,1,일,그,,걔네들,,가지,,,,,,,,,,,,,,,,
알,어,정도,로,이,나,는,너무,,,은,거,게,들,많,을,고,.,하,어요,이,그래서,었,,,1,월,다른,,카톡으,,가지,,,,,,,,,,,,,,,,
되,어,절반,에,가,뭐,은,딱,,,ㄴ,거,어,고,똑같,을,지만,.,되,어요,이,그래서,았,,,2,원,이런,,알고,,지,,,,,,,,,,,,,,,,
갖,아,정도,으로,이,뭐,도,되게,,,는,것,니까,들,똑같,을,고,.,하,에요,이,그래서,었,,,3,번,어느,,응,,있,,,,,,,,,,,,,,,,
있,다,절반,에,가,당신,만,좀,,,ㄴ,가지,어서,들,어떻,을,고,.,되,거든요,이,그래서,았,,,3,번,그,,냬,,않,,,,,,,,,,,,,,,,
아,다,정도,에,가,당신,는,다,,,은,것,어도,들,그렇,를,려면,.,되,에요,이,그리고,었,,,5,군데,그,,카톡으,,않,,,,,,,,,,,,,,,,
하,어,그때,에,이,당신,은,이제,,,는,대로,서,들,못하,을,면서,.,하,거든요,이,그래서,었,,,4,박,그,,얘,,보,,,,,,,,,,,,,,,,
하,아,검사,에,가,무엇,는,그래서,,,ㄹ,것,어서,들,어렵,을,고,.,하,어요,이,그래서,더,,,5,일,그,,냬,,않,,,,,,,,,,,,,,,,
보,어,대학교,에,이,뭐,도,이제,,,ㄴ,번째,게,들,다르,을,고,.,하,라고요,이,그래서,겠,,,4,번,그,,일스,,보,,,,,,,,,,,,,,,,
하,어,학년,에서,가,자기,도,되게,,,는,거,으면,들,다르,을,ㄴ다고,.,하,어요,이,그리고,더,,,5,번,이,,응,,가지,,,,,,,,,,,,,,,,
어,어,그때,에,가,나,는,좀,,,ㄹ,것,어야,들,없,를,자면,.,하,라고요,이,그래서,았,,,2,번,그,,응,,보,,,,,,,,,,,,,,,,
하,ㄴ다,계절,에,이,나,는,너무,,,는,거,아야,들,젊,을,고,.,하,어요,이,그래서,았,,,2,번,무슨,,거잖,,가지,,,,,,,,,,,,,,,,
걸리,어,학기,에,가,자기,은,좀,,,을,데,아야,치,좋,를,고,.,하,아요,이,그러니까,더,,,3,군데,그런,,응,,가지,,,,,,,,,,,,,,,,
답하,아,때,으로,이,자기,거나,딱,,,ㄴ,것,게,제,많,을,지만,.,하,에요,이,그래서,더,,,6,박,이런,,휴,,가지,,,,,,,,,,,,,,,,
되,다,계절,에서,가,자기,은,항상,,,ㄴ,거,니까,제,힘들,을,고,.,하,라고요,이,그러니까,겠,,,8,일,그런,,응,,가지,,,,,,,,,,,,,,,,
있,어,학기,으로,은,내,은,좀,,,ㄴ,가지,어서,히,같,을,다면,.,하,어요,이,그래서,았,,,3,시간,이,,더래,,가지,,,,,,,,,,,,,,,,
하,어,때,에,이,나,는,좀,,,을,거,는데,씩,괜찮,를,면,.,하,라고요,이,그런데,었,,,구,월,이런,,응,,가지,,,,,,,,,,,,,,,,
보,어,계절,보고,이,이것,도,좀,,,는,중,는데,들,어리,를,고,.,하,죠,이,그런데,았,,,하나,일,그,,랬,,보,,,,,,,,,,,,,,,,
하,아,학기,로,가,무엇,도,좀,,,는,거,아,씩,낫,을,고,.,하,네,이,그래서,겠,,,하나,월,이,,얘,,가지,,,,,,,,,,,,,,,,
그러,어,엠,로,이,나,도,좀,,,는,수,지,씩,작,를,ㄴ다면,.,하,어요,이,그런데,었,,,1,일,이,,응,,지,,,,,,,,,,,,,,,,
하,어,비,에,가,어디,도,잘,,,ㄹ,것,어,들,같,를,면,.,하,라고요,이,그래서,었,,,1,월,그런,,걔,,가지,,,,,,,,,,,,,,,,
그리,어,티,에,가,나,도,쭉,,,을,것,은데,들,강하,한테,고,.,하,거든요,이,그러니까,더,,,1,일,그,,걔,,보,,,,,,,,,,,,,,,,
그러,어,아이,에,가,당신,까지,더,,,다는,중,지,들,그렇,을,고,.,하,에요,이,그래서,었,,,2,월,그,,응,,보,,,,,,,,,,,,,,,,
어,어,검사,에서,이,나,는,쪼금,,,ㄴ,것,지,년,나쁘,을,고,.,하,어요,이,그래서,더,,,1,일,그,,거기서,,주,,,,,,,,,,,,,,,,
하,아,내가,에서,이,나,는,더,,,ㄴ다는,수,아서,들,괜찮,을,ㄴ데,.,하,어요,이,그런데,었,,,하나,년,이런,,가져야겠다,,주,,,,,,,,,,,,,,,,
얻,고,대학교,에,이,당신,는,이제,,,ㄴ,것,으니까,들,좋,를,고,.,하,어요,이,그래서,었,,,1,원,이런,,응,,않,,,,,,,,,,,,,,,,
하,ㄴ지,때,에서,이,당신,도,굉장히,,,ㄴ,때문,어도,씩,좋,를,지만,.,하,거든요,이,그러면,겠,,,1.5,명,이런,,많고,,가지,,,,,,,,,,,,,,,,
하,아,이,에,이,자기,은,도대체,,,는,수,는데,들,그,를,면서,.,하,아요,이,그래서,었,,,하나,원,그,,겠단,,않,,,,,,,,,,,,,,,,
보,지,에스,에,가,나,는,잘,,,ㄹ,것,니까,들,어떻,를,고,.,하,다고,이,그래서,더,,,하나,원,이런,,그만둬야겠구,,있,,,,,,,,,,,,,,,,
느끼,어,티,에,가,나,도,아무튼,,,는,식,ㄹ까,들,어떻,를,고,.,하,아요,이,그래서,았,,,십,월,어느,,걔,,않,,,,,,,,,,,,,,,,
귀찮,어,피,에,이,나,은,좀,,,ㄴ,데,어,들,어떻,을,면,.,하,거든요,이,그래서,더,,,3,건,이,,응,,않,,,,,,,,,,,,,,,,
하,어,지금,에,이,나,은,쭉,,,ㄴ,것,지,들,어떻,한테,고,.,하,아요,이,그래서,었,,,만,평,그,,,,않,,,,,,,,,,,,,,,,
아,어,경우,에,가,나,는,인제,,,는,수,던데,들,같,를,면,.,하,아요,이,그리고,었,,,5,그루,그런,,,,보,,,,,,,,,,,,,,,,
대하,아,이,에서,이,자기,거나,쭉,,,ㄹ,수,지,들,어리,를,고,.,하,어요,이,그래서,더,,,만,그루,그,,,,않,,,,,,,,,,,,,,,,
하,아,에스,에,가,우리,거나,거의,,,는,데,지,들,달르,을,고,.,하,다고,이,그래서,겠,,,5,그루,그,,,,있,,,,,,,,,,,,,,,,
보,어,티,에,이,나,는,활짝,,,ㄴ,데,지,들,늦,을,고,.,하,라고요,이,그래서,겠,,,만,원,그런,,,,보,,,,,,,,,,,,,,,,
있,어,비,에서,는,자기,은,아마,,,는,데,은데,들,어리,을,고,.,하,지,이,그래서,더,,,5,것,그,,,,않,,,,,,,,,,,,,,,,
하,다,음,와,가,그것,거나,하여간,,,ㄴ,데,게,들,힘들,를,고,.,하,어요,이,그래서,더,,,만,년,그,,,,보,,,,,,,,,,,,,,,,
보,어,내,으로,가,당신,는,쪼끔,,,ㄴ,데,어서,들,그,을,고,.,하,다고,이,그래서,더,,,10,년,그,,,,내,,,,,,,,,,,,,,,,
바뀌,어,애,와,가,자기,은,좀,,,는,데,으니까,들,멀,을,고,.,하,라고요,이,그래서,았,,,만,년,모든,,,,않,,,,,,,,,,,,,,,,
그러,고,성격,로,이,당신,도,좀,,,ㄹ,대,어서,들,많,를,고,.,하,다고,이,하물며,었,,,10,것,그런,,,,않,,,,,,,,,,,,,,,,
듣,어,엠,에,이,나,도,더,,,ㄹ,수,지,들,그렇,을,면,.,하,라고요,이,그래서,었,,,만,것,그런,,,,놓,,,,,,,,,,,,,,,,
그러,어,비,에,이,뭐,도,그래서,,,는,것,아,들,어렵,를,고,.,하,라고요,이,그러니까,더,,,5,명,그,,,,지,,,,,,,,,,,,,,,,
듣,어,티,에,이,누구,은,그렇게,,,ㄴ,거,니까,들,그,을,고,.,하,어요,이,그래서,더,,,만,채,그,,,,보,,,,,,,,,,,,,,,,
있,다,아이,으로,이,뭐,은,정말,,,은,데,어도,들,같,을,지만,.,하,아요,이,그러니까,았,,,10,퍼센트,그,,,,주,,,,,,,,,,,,,,,,
어,어,얘기,에,이,자기,는,좀,,,ㄴ,것,어도,들,가깝,를,고,.,하,아야지,이,그런데,었,,,11,명,그,,,,않,,,,,,,,,,,,,,,,
그러,아,혹,에서,이,그,은,이제,,,은,나름,지,들,가깝,을,고,.,하,다,이,그래서,더,,,만,우리,그,,,,주,,,,,,,,,,,,,,,,
하,아,이하,에,이,당신,도,좀,,,을,것,게,들,많,을,고,.,하,잖아요,이,그런데,었,,,1,개월,그,,,,주,,,,,,,,,,,,,,,,
있,어,아이,에서,이,나,은,워낙,,,ㄴ,중,게,들,드문하,을,지만,.,하,거든요,이,그래서,었,,,하나,개월,그,,,,않,,,,,,,,,,,,,,,,
그러,어,외형,에,이,이,는,안,,,는,것,는데,들,그렇,한테,고,.,하,지,이,그런데,았,,,100,년,그런,,,,주,,,,,,,,,,,,,,,,
하,어,내성,으로,라서,뭐,거나,정말,,,는,수,니까,들,그렇,을,지만,.,하,라고요,이,그리고,더,,,2,년,그,,,,있,,,,,,,,,,,,,,,,
있,어,검사,에,이,뭐,는,또,,,ㄹ,수,니까,들,어떻,를,고,.,하,어요,이,하지만,더,,,2,번,그,,,,보,,,,,,,,,,,,,,,,
바뀌,어,정확,에,이,그거,은,좀,,,다는,때문,러,분,멀,을,고,.,하,라고요,이,그래서,겠,,,12,번,그,,,,않,,,,,,,,,,,,,,,,
어,아,성격,으로,이,뭐,는,좀,,,ㄹ,수,어서,네,같,을,고,.,하,거든요,이,그리고,었,,,2,년,그런,,,,있,,,,,,,,,,,,,,,,
때,어,내성적,에,가,이거,은,많이,,,는,수,려,네,많,를,면,.,하,아요,이,그래서,었,,,15,월,그,,,,있,,,,,,,,,,,,,,,,
바뀌,아,측면,에서,이,이것,는,또,,,는,중,아서,들,크,을,고,.,하,어요,이,그래서,았,,,10,월,어느,,,,주,,,,,,,,,,,,,,,,
바뀌,ㄴ다,요즘,에,이,저,는,이제,,,ㄹ,님,여,끼리,이렇,를,고,.,하,거든요,이,그래서,었,,,30,일,이,,,,있,,,,,,,,,,,,,,,,
몰르,어,웹,에,가,그곳,는,또,,,ㄹ,것,다시피,들,넓,을,고,.,하,ㄴ다,이,그래서,었,,,100,개월,그,,,,주,,,,,,,,,,,,,,,,
있,다,동영상,에,이,저,는,되게,,,은,거,지,들,없,을,면,.,하,어요,이,그러면,았,,,만,명,그,,,,않,,,,,,,,,,,,,,,,
하,어,엠,에,가,그곳,는,거의,,,ㄴ,때문,는데,들,같,를,고,.,하,어요,이,그래서,었,,,공,개,그런,,,,보,,,,,,,,,,,,,,,,
있,어,비,에,이,뭐,는,훨씬,,,ㄹ,것,어야,들,그렇,을,ㄴ데,.,하,죠,이,그래서,었,,,2,도,그런,,,,주,,,,,,,,,,,,,,,,
듣,아,티,에,이,저,도,따로,,,ㄹ,거,으면,고,좋,를,면,.,하,라고요,이,그래서,었,,,4,년,그,,,,주,,,,,,,,,,,,,,,,
있,ㄴ다,아이,에서,가,이거,는,이제,,,는,것,어,들,없,를,고,.,하,어요,이,그래서,었,,,5,건,모든,,,,않,,,,,,,,,,,,,,,,
보,어,친구,에,는,나,도,따로,,,는,수,으니까,들,같,을,고,.,하,에요,이,그렇지만,었,,,하나,건,어떤,,,,보,,,,,,,,,,,,,,,,
하,어,얘기,으로,이,나,는,좀,,,은,것,지,들,좋,을,면,.,되,에요,이,그래서,겠,,,5,우리,그,,,,보,,,,,,,,,,,,,,,,
있,ㄴ다,장면,에,가,뭐,이나,더,,,ㄹ,것,아서,들,좋,을,고,.,하,에요,이,그런데,었,,,6,건,그,,,,대,,,,,,,,,,,,,,,,
하,어,오더,으로,가,이것,는,혹시,,,ㄴ,년,지,들,힘들,을,고,.,하,라고요,이,그래서,었,,,1,년,이런,,,,말,,,,,,,,,,,,,,,,
느,어,은,으로,가,뭐,도,좀,,,ㄴ,년,게,들,좋,를,고,.,하,아요,이,그리고,었,,,100,년,그,,,,않,,,,,,,,,,,,,,,,
하,어,아이,에,가,저,도,좀,,,ㄴ,수,게,들,어떻,을,고,.,하,다,이,그래서,었,,,90,건,그,,,,않,,,,,,,,,,,,,,,,
되,는지,티,에,이,뭐,는,좀,,,ㄹ,것,어,들,어떻,을,면,.,하,네요,이,그래서,았,,,5,릴,그,,,,말,,,,,,,,,,,,,,,,
그리하,다,계획적,에,가,그,은,자꾸,,,을,것,아,들,그렇,을,고,.,되,네요,이,그래서,았,,,10,년,그,,,,두,,,,,,,,,,,,,,,,
하,어,감정적,으로,이,뭐,는,이렇게,,,는,거,어서,들,좋,을,면,.,하,거든요,이,그래서,었,,,5,대,그,,,,보,,,,,,,,,,,,,,,,
어,ㄴ가,예전,에서,가,내,은,지금,,,을,것,는데,들,젊,을,면,.,하,다고,이,그래서,었,,,6,년,그,,,,보,,,,,,,,,,,,,,,,
그러,어,티브이,에,이,이것,도,그럼,,,ㄴ,것,어서,들,젊,를,고,.,하,어요,이,그래서,겠,,,1,일,그,,,,있,,,,,,,,,,,,,,,,
하,어,한번,에,가,이것,은,계속,,,는,것,어야,장이,많,를,고,.,하,거든요,이,그래서,었,,,하나,일,이런,,,,있,,,,,,,,,,,,,,,,
하,어,전문가,과,가,거기,만,괜히,,,ㄴ,것,지,들,힘들,를,고,.,하,라고요,이,그래서,더,,,1,우리,그런,,,,보,,,,,,,,,,,,,,,,
되,어,얘기,로,이,뭐,는,왠지,,,은,가지,아,들,안쓰럽,을,ㄴ데,.,하,어요,이,그래서,겠,,,1,년,이,,,,지,,,,,,,,,,,,,,,,
어,어,엠,으로,는,그,는,왜,,,ㄴ,식,ㄹ까,장,그,을,면,.,하,잖아,이,그래서,었,,,하나,건,그,,,,지,,,,,,,,,,,,,,,,
하,어,비,처럼,가,그,도,지금,,,ㄴ,수,는데,들,좋,을,면,.,하,어,이,그런데,겠,,,1,우리,그,,,,않,,,,,,,,,,,,,,,,
있,아,티,에서,이,뭐,도,안,,,을,만큼,지,들,같,을,고,.,하,더라,이,그래서,더,,,2,명,그,,,,않,,,,,,,,,,,,,,,,
하,아,아이,에서,가,그거,은,더,,,는,번,아서,들,좋,을,고,.,하,네,이,그래서,었,,,하나,년,그런,,,,주,,,,,,,,,,,,,,,,
하,어,정확,에,이,그것,은,막,,,ㄹ,것,지,씩,좋,을,지만,.,하,네,이,그리고,더,,,1,명,그런,,,,않,,,,,,,,,,,,,,,,
있,어,옛날,에,이,이것,도,이렇게,,,는,분,더라도,들,크,을,면,.,하,거든,이,그래서,었,,,하나,월,그,,,,있,,,,,,,,,,,,,,,,
하,다,예전,로,가,저희,도,인제,,,는,거,아서,들,그렇,을,고,.,하,라고,이,그러니까,더,,,1,년,그,,,,있,,,,,,,,,,,,,,,,
아,어,혈액형,로,이,저,도,이제,,,ㄹ,것,라,들,힘들,을,고,.,하,다,이,그런데,었,,,5,년,어느,,,,않,,,,,,,,,,,,,,,,
하,어,사람,에서,이,그쪽,도,좀,,,라는,거,어서,들,없,을,면,.,하,잖아,이,그러니까,더,,,6,년,그,,,,보,,,,,,,,,,,,,,,,
하,아,성격,으로,이,저희,이,많이,,,ㄴ,거,게,들,같,을,고,.,하,지,이,그래서,었,,,3,년,그,,,,않,,,,,,,,,,,,,,,,
되,어,오형,에,이,우리,는,지금,,,는,거,어야,들,같,를,면,.,하,야,이,그래서,았,,,2,년,그,,,,있,,,,,,,,,,,,,,,,
느끼,어,에이형,에,가,저,는,쪼끔,,,ㄴ,것,다가,들,아프,을,고,.,하,네,이,그래서,었,,,1,년,그,,,,가지,,,,,,,,,,,,,,,,
하,다,비형,에,가,뭐,도,빨리,,,ㄴ,거,게,들,아프,를,고,.,하,야,이,그래서,더,,,1,령,그,,,,가지,,,,,,,,,,,,,,,,
하,어,남자,에,이,어디,는,그래서,,,ㄴ,것,는데,들,좋,를,고,.,하,라고,이,그래서,었,,,1,년,그,,,,지,,,,,,,,,,,,,,,,
보,아,신빙성,에,이,그,도,왜,,,ㄴ,쪽,어서,들,좋,을,ㄴ데,.,되,네,이,그래서,더,,,2,년,그,,,,있,,,,,,,,,,,,,,,,
있,ㄴ다,재미,에,가,뭐,은,왜,,,ㄴ,쪽,게,들,똥그랗,를,고,.,하,야,이,그러니까,었,,,하나,년,그런,,,,않,,,,,,,,,,,,,,,,
알,ㄴ다,거지,에,이,그,는,약간,,,는,때문,어서,네,같,를,지만,.,하,여야지,이,그래서,더,,,2,년,그런,,,,내,,,,,,,,,,,,,,,,
어,어,신빙성,에서,가,그거,은,좀,,,ㄴ,수,게,들,똥그랗,를,고,.,하,지,이,그래서,었,,,셋,년,이런,,,,보,,,,,,,,,,,,,,,,
하,어,생각,에,이,니,은,많이,,,는,거,지,들,그렇,을,고,.,하,어,이,그래서,더,,,2,년,그,,,,가지,,,,,,,,,,,,,,,,
있,어,매몰,에서,이,저,도,이제,,,은,거,어서,들,좋,을,고,.,하,어,이,그리고,었,,,하나,년,그,,,,가지,,,,,,,,,,,,,,,,
걸리,어,요즘,에서,가,그거,도,이제,,,ㄹ,쪽,게,들,좋,을,고,.,하,네,이,그리고,었,,,13,번,그,,,,있,,,,,,,,,,,,,,,,
어,어,이제,로서,이,그,이나,새로,,,다는,쪽,게,들,좋,을,고,.,되,어,이,그래서,었,,,1,년,어느,,,,보,,,,,,,,,,,,,,,,
쓰,다,학원,에,가,저,은,이제,,,는,거,어서,들,같,를,면,.,하,거든,이,그런데,었,,,하나,년,어느,,,,보,,,,,,,,,,,,,,,,
하,다,학원,에,가,이것,라고,좀,,,ㄴ,때문,게,들,괜찮,를,고,.,하,잖아,이,그래서,었,,,1,년,이런,,,,보,,,,,,,,,,,,,,,,
되,다,새,에,이,뭐,만,좀,,,는,거,게,들,예쁘,을,고,.,되,어,이,그래서,었,,,2,년,그,,,,가지,,,,,,,,,,,,,,,,
하,아,선생님,에,가,저희,만,잘,,,은,대,는데,들,맛있,을,고,.,하,네,이,그러니까,었,,,1,년,어떤,,,,가지,,,,,,,,,,,,,,,,
알,다,때,에,는,뭐,도,막,,,은,데,게,들,많,을,면,.,하,ㄴ다,이,그래서,었,,,하나,년,이런저런,,,,가지,,,,,,,,,,,,,,,,
있,다,엠,에,이,뭐,도,너무,,,는,거,아서,들,그렇,한테,고,.,하,ㄴ다,이,그래서,었,,,만,년,그런,,,,않,,,,,,,,,,,,,,,,
그,아,비,으로,가,뭐,도,근데,,,은,수,아,적,없,을,고,.,되,거든,이,그리고,았,,,둘,년,그,,,,주,,,,,,,,,,,,,,,,
들,어,티,로,가,뭐,도,이제,,,는,거,게,들,이렇,를,고,.,하,네,이,그래서,었,,,셋,년,어떤,,,,있,,,,,,,,,,,,,,,,
그러,어,아이,에서,가,뭐,도,막,,,ㄴ,것,어,들,그렇,을,고,.,하,어,이,그래서,었,,,하나,냥,그,,,,가지,,,,,,,,,,,,,,,,
알,다,무엇,로,이,뭐,도,이제,,,은,것,다가,들,같,한테,고,.,하,라,이,그러니까,었,,,수십,주일,그런,,,,버리,,,,,,,,,,,,,,,,
하,다,도,에,이,뭐,도,막,,,은,것,어서,질,그렇,을,고,.,하,어,이,그리고,었,,,수백,번,그,,,,가지,,,,,,,,,,,,,,,,
있,ㄴ다,학생,으로,가,저,은,그렇게,,,ㄴ,식,니까,들,맛있,를,면,.,하,어,이,그래서,었,,,26,우리,어느,,,,있,,,,,,,,,,,,,,,,
알,어,학원,에,께서,뭐,은,물론,,,을,식,어서,적,없,한테,고,.,하,라고,이,그러니까,았,,,6,우리,그런,,,,있,,,,,,,,,,,,,,,,
걸리,어,나름,처럼,이,이것,는,이제,,,는,줄,게,들,많,를,면,.,하,네,이,그러니까,었,,,1000,살,그,,,,있,,,,,,,,,,,,,,,,
하,어,데이터,에,이,이것,은,너무,,,는,것,게,고,이렇,한테,고,.,하,네,이,그러니까,었,,,만,,그,,,,주,,,,,,,,,,,,,,,,
보,아,만약,으로,이,뭐,는,바로,,,ㄹ,식,지,조,많,를,면,.,하,다,이,그리고,었,,,1,,그,,,,주,,,,,,,,,,,,,,,,
되,어,이랑,에,가,뭐,도,그냥,,,을,것,아도,끼리,부럽,을,든지,.,하,어,이,그러니까,었,,,1,,이런,,,,나,,,,,,,,,,,,,,,,
보,어,아이,에,가,이것,도,사실,,,ㄴ,년,게,들,없,를,고,.,하,거든,이,그러니까,었,,,1,,이런,,,,보,,,,,,,,,,,,,,,,
아,어,점수,에,가,뭐,나,이렇게,,,는,거,아,씩,그렇,를,고,.,하,다,이,그러니까,았,,,1,,이런,,,,가지,,,,,,,,,,,,,,,,
알,ㄴ가,경우,에,가,우리,요,정말,,,을,것,게,퉁이,같,을,고,.,하,잖아,이,그러니까,었,,,1,,그,,,,가지,,,,,,,,,,,,,,,,
치,아,경우,으로,는,이거,를,그냥,,,는,것,게,들,싫,을,고,.,되,내,이,그러면,었,,,3000,,그,,,,않,,,,,,,,,,,,,,,,
푸,다,경우,으로,이,이거,도,굉장히,,,는,거,니까,들,없,를,ㄴ다고,.,하,어,이,그래서,었,,,만,,이런,,,,있,,,,,,,,,,,,,,,,
그러,어,고,처럼,가,뭐,도,많이,,,을,줄,게,들,같,을,고,.,하,지,이,그러니까,었,,,1,,그런,,,,가지,,,,,,,,,,,,,,,,
들이,ㄴ다,데이터,으로,가,뭐,도,정말,,,ㄴ,것,는데,들,그,을,고,.,하,네,이,그런데,았,,,1,,고런,,,,가지,,,,,,,,,,,,,,,,
있,어,문제,에,이,그,는,막,,,는,것,어,들,친하,를,고,.,하,어,이,그래서,더,,,3,,그,,,,있,,,,,,,,,,,,,,,,
있,어,순,에,가,저기,는,되게,,,는,것,아도,들,친하,을,고,.,하,어,이,그래서,었,,,10,,그,,,,않,,,,,,,,,,,,,,,,
이르,ㄴ다,은,에,이,뭐,요,정말,,,은,것,니까,들,있,을,고,.,하,어,이,그래서,더,,,94,,그,,,,않,,,,,,,,,,,,,,,,
뽑,지,사람,에,이,거기,은,잘,,,는,줄,라도,들,부럽,을,고,.,하,어,이,그래서,었,,,20,,그,,,,않,,,,,,,,,,,,,,,,
있,아,배치,에,가,그,도,되게,,,ㄹ,적,니까,들,부럽,한테,고,.,하,라고,이,그래서,더,,,한둘,,어느,,,,않,,,,,,,,,,,,,,,,
뽑,다,데는,로,가,그,도,잘,,,는,것,어서,들,같,를,고,.,되,어,이,그래서,었,,,1,,그,,,,나,,,,,,,,,,,,,,,,
듣,어,요소,에,이,저희,도,요렇게,,,ㄴ,거,지,성,어리,을,어야지만,.,하,어,이,그리고,더,,,2,,그,,,,않,,,,,,,,,,,,,,,,
나오,아,상대방,에,이,뭐,도,도저히,,,는,거,아,들,그렇,를,고,.,하,지,이,그래서,더,,,1,,그,,,,않,,,,,,,,,,,,,,,,
가지,어,은,에서,이,저희,나,못,,,은,것,게,들,그렇,를,ㄴ다고,.,하,잖아,이,그래서,았,,,1,,그,,,,않,,,,,,,,,,,,,,,,
쏘,어,상대,에서,이,뭐,은,이제,,,는,거,어,제,모나,를,면,.,하,거든,이,그리고,었,,,6,,그,,,,않,,,,,,,,,,,,,,,,
