NNG,JKS,XSN,JX,NP,JKO,MAG,UN,VV,ECS,ETD,NNB,VA,ECD,SF,MDT,JKG,JKM,MAC,EPT,VXV,EFQ,EFN,ECE,VXA,VCP,VCN,NR,EFI,XSV,JKQ,NNP,JC,XR,XSA,EPH,ETN,JKC,OL,NNM,VX,JKI,MDN,XPN,IC,EFO,EFA
오신,가,들,은,뭐,를,막,,어,아,는,것,같,지,.,그,,에서,,었,주,,다고,고,,이,,50,,하,,,,,,,,,,,,,,,,,
분,가,끼리,야,나,을,금방,,그리하,아,ㄴ,것,같,으니까,?,그,,에,,더,보,,더라,고,,이,,30,,하,,,,,,,,,,,,,,,,,
텃세,이,들,도,뭐,을,안,,가,아,는,만,싸,ㄴ데,.,그,,에,,었,주,,잖아,고,,이,,1,,하,,,,,,,,,,,,,,,,,
대,가,들,야,나,을,또,,되,아,ㄹ,쪽,낫,니까,.,그,,에서,,었,가지,,다고,고,,이,,1,,하,,,,,,,,,,,,,,,,,
사람,이,들,은,우리,를,또,,하,어,ㄴ,쪽,같,어도,.,그,,에,,었,있,,라고,고,,이,,하나,,하,,,,,,,,,,,,,,,,,
이,이,들,는,우리,을,하나하나,,죽,어,ㄴ,거,그렇,려고,.,그,,에,,었,않,,네,고,,이,,3,,하,,,,,,,,,,,,,,,,,
사람,이,들,는,자기,을,잘,,갈,어,ㄴ,터,없,지,?,그,,에,,더,않,,다고,고,,이,,3,,하,,,,,,,,,,,,,,,,,
생계,가,들,까지,저,을,또,,이러,다,은,것,나쁘,니까,.,그,,에,,었,보,,라고,고,,이,,1,,하,,,,,,,,,,,,,,,,,
유지,이,님,는,저희,을,다,,가,어,는,거,뜨겁,어서,.,그,,에,,었,않,,데,고,,이,,30,,하,,,,,,,,,,,,,,,,,
은,가,들,는,나,을,진짜,,하,어,는,거,이렇,어서,.,그,,에,,었,있,,아,건,,이,,8,,하,,,,,,,,,,,,,,,,,
나도,이,들,은,거기,을,쪼끔,,살,어,은,거,춥,지,?,어떤,,에,,었,않,,네,고,,이,,10,,하,,,,,,,,,,,,,,,,,
걱정,가,들,는,우리,을,많이,,사,어,을,거,덥,아서,.,이런,,에,,었,있,,네,고,,이,,3,,하,,,,,,,,,,,,,,,,,
사람,이,들,도,우리,를,똑같이,,오,아,는,거,그,ㄴ데,.,그런,,에,,었,가지,,네,면,,이,,4,,하,,,,,,,,,,,,,,,,,
걱정,가,들,도,이,을,인제,,가,어,ㄹ,것,뜨겁,어야,.,여러,,에,,었,가지,,더라,고,,이,,1,,하,,,,,,,,,,,,,,,,,
근래,가,들,은,뭐,을,근데,,하,어,ㄴ,수,덜하,는데,.,그,,에,,었,있,,네,고,,이,,2,,하,,,,,,,,,,,,,,,,,
주변,이,들,는,뭐,를,조금,,하,ㄴ가,은,거,같,아서,.,그,,에,,더,있,,지,고는,,이,,3,,하,,,,,,,,,,,,,,,,,
주변,이,들,는,뭐,을,안,,하,어,은,터,그렇,어도,.,그,,으로,,었,않,,라고,면,,이,,4,,하,,,,,,,,,,,,,,,,,
가족,가,들,은,자기,을,좀,,이러,어,는,거,없,어도,.,그,,으로,,었,주,,거든,고,,이,,70,,하,,,,,,,,,,,,,,,,,
누,이,들,도,저,를,안,,넘어가,어,는,거,그,게,.,그,,에,,었,있,,라고,고,,이,,50,,하,,,,,,,,,,,,,,,,,
구라,가,들,도,저희,을,조금,,그러,다,ㄴ,때문,없,게,.,그,,에서,,었,있,,어,면,,이,,하나,,하,,,,,,,,,,,,,,,,,
경조사,이,끼리,는,저,을,더,,가,고,는,마련,괜찮,으면,.,그런,,으로,,았,가지,,지,고,,이,,1,,하,,,,,,,,,,,,,,,,,
일,이,들,는,뭐,을,좀,,있,아,ㄴ,호,같,지,.,이런,,에,,었,않,,거든,고,,이,,1,,하,,,,,,,,,,,,,,,,,
한번,이,들,는,그,를,왜냐하면,,가지,어,ㄹ,바,늦,어서,.,그,,에,,었,보,,어,면,,이,,90,,하,,,,,,,,,,,,,,,,,
예,이,들,는,뭐,을,안,,가,어,ㄴ,식,같,게,.,이런,,에,,았,주,,지,고,,이,,80,,하,,,,,,,,,,,,,,,,,
제가,이,들,는,뭐,을,쪼끔,,있,다,ㄴ,식,그,니까,.,다른,,에,,더,지,,어,고,,이,,2,,하,,,,,,,,,,,,,,,,,
얼마,이,네,은,어디,을,좀,,하,아,ㄴ,데,없,아서,.,그,,에,,었,있,,대,면,,이,,3,,하,,,,,,,,,,,,,,,,,
전,이,들,도,뭐,을,조금,,되,아,는,거,크,ㄴ데,.,그,,에서,,더,있,,네,고,,이,,4,,하,,,,,,,,,,,,,,,,,
남편,가,들,도,거기,를,더,,가,아,ㄴ,때문,밤늦,어도,.,그,,에,,었,않,,라,ㄴ데,,이,,1,,하,,,,,,,,,,,,,,,,,
사고,가,들,도,나,을,조금,,그러,아,ㄴ단,수,그렇,어도,.,그,,에,,었,있,,어,나,,이,,1,,시키,,,,,,,,,,,,,,,,,
세상,이,들,도,뭐,을,근데,,맡기,어,ㄴ,수,그렇,다가,.,그,,로,,었,보,,더라,려면,,이,,30,,시키,,,,,,,,,,,,,,,,,
일,이,들,은,뭐,을,굉장히,,받,곤,ㄴ,쪽,싸,니까,?,저,,에,,었,있,,어,고,,이,,하나,,시키,,,,,,,,,,,,,,,,,
일,가,들,는,내,을,또,,까,아,ㄴ,쪽,없,게,.,그런,,에,,었,보,,어,고,,이,,5,,하,,,,,,,,,,,,,,,,,
전,가,들,만,뭐,를,있다,,까,ㄴ다,ㄴ,중,같,는데,.,그런,,에,,었,보,,지,고,,이,,만,,하,,,,,,,,,,,,,,,,,
친구,이,들,부터,뭐,를,더,,어,지,ㄹ,만,같,아서,.,이,,에,,었,보,,어,고,,이,,10,,하,,,,,,,,,,,,,,,,,
남편,이,들,도,나,를,얼마든지,,보내,어,ㄹ,야,같,어도,.,그,,에,,겠,가지,,지,고,,이,,만,,하,,,,,,,,,,,,,,,,,
췌장암,가,들,도,저,을,참,,쓰,어,는,것,좋,여,.,이런,,에,,겠,않,,더라,고,,이,,하나,,하,,,,,,,,,,,,,,,,,
고생,이,들,은,자기,를,한번,,있,어,을,땜,젊,어,.,그,,에,,었,가지,,아요,면,,이,,하나,,시키,,,,,,,,,,,,,,,,,
이제,이,들,는,저,을,더,,보,어,ㄹ,쪽,같,는데,.,그,,에,,었,있,,잖아,자,,이,,10,,하,,,,,,,,,,,,,,,,,
회복,이,들,밖에,저,를,다,,저,어,ㄴ,거,그,니까,.,이,,로,,었,가지,,어요,고,,이,,만,,하,,,,,,,,,,,,,,,,,
한,가,들,도,우리,를,인제,,그리,아,은,거,없,어야,.,그,,에,,었,주,,라고,고,,이,,20,,하,,,,,,,,,,,,,,,,,
완쾌,가,들,도,저,을,더,,미루,아,는,것,두렵,어서,.,그,,에,,었,가지,,라고,고,,이,,만,,되,,,,,,,,,,,,,,,,,
그날,가,들,도,뭐,을,더,,떠나,어,는,것,많,으면,.,그,,에,,었,가지,,더라,고,,이,,1,,하,,,,,,,,,,,,,,,,,
이상,이,장,도,저희,을,더,,이러,어,는,때문,같,니까,.,그런,,에,,더,보,,지,면,,이,,억,,하,,,,,,,,,,,,,,,,,
날,가,용,은,거기,를,덜,,저,어,ㄴ,중,없,니까,.,그,,에,,더,가지,,어,고,,이,,1,,하,,,,,,,,,,,,,,,,,
티브이,이,들,만,저희,를,더,,메,다,는,땜,그,ㄹ지,.,그,,에,,었,보,,더라,고,,이,,억,,하,,,,,,,,,,,,,,,,,
칼국수,가,적,도,저,를,얼마나,,태,아,ㄴ,수,얇,어,.,그,,에,,었,있,,라고,고,,이,,2,,하,,,,,,,,,,,,,,,,,
사람,이,들,는,거기,을,진짜,,맡,어,ㄹ,번째,많,아,.,무슨,,으로,,더,있,,라고,고,,이,,억,,하,,,,,,,,,,,,,,,,,
건강,이,들,도,그,을,근데,,있,어,는,것,좋,게,.,모든,,에,,았,있,,잖아,ㄴ다고,,이,,1,,하,,,,,,,,,,,,,,,,,
코로나,가,끼리,는,이거,을,진짜,,돌아가,ㄴ가,ㄴ,때문,부럽,여요,.,이런,,에,,았,보,,어,면,,이,,5,,하,,,,,,,,,,,,,,,,,
유행,이,들,야,뭐,를,많이,,하,아,는,때문,그,니,.,그,,에,,더,있,,야,고,,이,,만,,하,,,,,,,,,,,,,,,,,
때,이,들,도,그분,을,계속,,하,ㄴ가,ㄹ,수,무섭,아,.,그,,에,,더,있,,어요,고,,이,,10,,하,,,,,,,,,,,,,,,,,
대중교통,가,들,도,뭐,을,벌써,,찌푸리,아,은,수,어떻,게,.,그,,에서,,었,가지,,라고,지만,,이,,만,,하,,,,,,,,,,,,,,,,,
이용,이,짜리,도,우리,을,많이,,되,어,은,때문,늦,니까,.,그런,,서,,었,가지,,지,ㄴ데,,이,,10,,하,,,,,,,,,,,,,,,,,
맛,이,들,는,그분,를,막,,보,어,ㄴ,거,없,게,.,그,,에,,았,있,,라,면,,이,,만,,하,,,,,,,,,,,,,,,,,
맛,가,들,는,이것,을,더,,아프,어,은,거,없,니까,.,그,,에서,,었,버리,,어,ㄴ데,,이,,1,,하,,,,,,,,,,,,,,,,,
집,이,들,는,저기,을,많이,,계시,어,는,간,그,어야,.,그런,,으로,,었,보,,지,면,,이,,7,,하,,,,,,,,,,,,,,,,,
줄,가,들,부터,나,을,정말,,그리하,아,ㄴ,간,싫,으니까,.,그,,에,,었,보,,네,면,,이,,8,,하,,,,,,,,,,,,,,,,,
시간,가,들,도,뭐,을,막,,보,다,ㄴ,것,그,게,.,이런,,에서,,더,있,,네,면,,이,,만,,하,,,,,,,,,,,,,,,,,
그날,이,들,이야,자기,을,근데,,같,다,ㄹ,것,없잖,니까,.,그,,에,,았,놓,,네,고,,이,,10,,하,,,,,,,,,,,,,,,,,
밤,이,들,는,거기,을,보다,,그,어,ㄹ,등등,솔,게,.,그,,에,,더,가지,,라고,면,,이,,만,,하,,,,,,,,,,,,,,,,,
사람,이,들,도,자기,을,또,,그리하,어,는,거,많,서,.,그,,서,,더,놓,,잖아,고,,이,,20,,하,,,,,,,,,,,,,,,,,
기침,이,들,만,그거,을,안,,하,어,는,거,좋,ㄴ지,.,그,,에서,,었,가지,,어,ㄴ다고,,이,,만,,하,,,,,,,,,,,,,,,,,
이상,가,들,만,뭐,을,서로,,그리,어,은,가지,무섭,니까,.,그,,에서,,더,않,,어,ㄴ데,,이,,1,,하,,,,,,,,,,,,,,,,,
병원,가,들,도,여기,을,제일,,하,어,는,데,좋,어서,.,그,,에,,었,주,,어,면,,이,,만,,하,,,,,,,,,,,,,,,,,
병원,이,적,는,그분,을,늘,,하,아,은,데,좋,여요,.,그,,에,,았,버리,,지,면서,,이,,1,,하,,,,,,,,,,,,,,,,,
그때,이,들,는,우리,을,요새,,그리하,아,ㄹ,것,없,니까,.,그런,,에,,었,있,,라고,고,,이,,만,,하,,,,,,,,,,,,,,,,,
문상,이,적,는,자기,을,거의,,보내,어,ㄹ,외,무섭,는데,.,몇,,보다,,었,가지,,네,면서,,이,,3,,하,,,,,,,,,,,,,,,,,
당시,이,들,도,그,한테,좀,,몰르,어,ㄴ,것,무섭,여,.,그,,으로,,었,버리,,어,면서,,이,,만,,하,,,,,,,,,,,,,,,,,
친구,가,들,야,그것,를,많이,,되,어,는단,번째,같,게,.,그,,에,,았,보,,거든,면서,,이,,5,,하,,,,,,,,,,,,,,,,,
때,이,들,만,그거,를,서로,,대하,어,ㄴ,때문,무섭,어,.,그,,으로,,았,보,,어,고,,이,,만,,하,,,,,,,,,,,,,,,,,
남편,가,들,만,그,을,안,,낫,어,ㄹ,때문,힘들,게,.,그런,,에,,더,주,,어,고,,이,,10,,하,,,,,,,,,,,,,,,,,
때,가,들,는,그,을,막,,하,아,ㄴ,수,같,어,.,그,,에,,었,가지,,야지,면서,,이,,만,,하,,,,,,,,,,,,,,,,,
나이,이,들,는,거기,를,좀,,그러,어,는,때문,편하,는데,.,그,,에,,더,가지,,네,고,,이,,2,,하,,,,,,,,,,,,,,,,,
친구,이,들,도,그거,을,많이,,계시,아,는,쪽,같,니까,?,그,,에,,었,가지,,지,고,,이,,11,,하,,,,,,,,,,,,,,,,,
남편,는,들,도,그거,을,확실히,,모시,다,ㄴ,수,쉽,어서,.,그런,,에,,었,가지,,네,고,,이,,11,,하,,,,,,,,,,,,,,,,,
친구,이,들,를,그,를,안,,보,ㄴ가,ㄹ,거,같,는데,.,그,,으로,,더,보,,ㄴ다,고,,이,,하나,,하,,,,,,,,,,,,,,,,,
일,가,고,는,뭐,를,이렇게,,돌아가시,어,ㄴ,것,좋,는데,.,몇,,에서,,었,보,,라고,고,,이,,2,,하,,,,,,,,,,,,,,,,,
주변,이,들,도,저희,를,가만히,,쇠,아,는,것,좋,ㄹ까,.,이,,에,,었,보,,지,면서,,이,,1,,하,,,,,,,,,,,,,,,,,
일,이,적,는,우리,을,주로,,쇠하,아,ㄴ,것,같,는데,.,그,,으로,,았,주,,지,고,,이,,하나,,하,,,,,,,,,,,,,,,,,
예,이,들,도,이것,를,잘,,쇠하,어,는,데,없,은데,.,그,,로,,았,보,,거든,ㄴ데,,이,,100,,하,,,,,,,,,,,,,,,,,
엄마,가,들,요,그거,을,안,,드리,어,는,데,이렇,니까,.,그,,보다,,었,주,,지,면서,,이,,1,,되,,,,,,,,,,,,,,,,,
동안,이,들,은,뭐,한테,안,,갈,고,는,데,같,어야,.,그,,에,,었,버리,,다고,고,,이,,하나,,하,,,,,,,,,,,,,,,,,
요양원,가,들,도,우리,을,되게,,하,어,ㄴ,수,그렇,니까,.,이,,으로,,었,가지,,어요,고,,이,,하나,,하,,,,,,,,,,,,,,,,,
코로나,이,들,는,뭐,을,막,,들,어,는,수,그렇,지,.,그,,으로,,더,놓,,고요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
고생,이,들,은,그,을,왜,,있,어,ㄹ,중,편하,지,.,그,,로,,었,있,,어요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
생각,가,아,는,뭐,를,또,,계시,어,는,것,같,라,.,그,,로,,었,않,,어요,든,,이,,1,,하,,,,,,,,,,,,,,,,,
면회,가,네,도,뭐,을,또,,그러,아,ㄴ,수,이쁘,아서,.,이런,,에,,었,있,,고요,든,,이,,1,,하,,,,,,,,,,,,,,,,,
때,이,들,는,그,를,다시,,오,어,을,것,그렇,ㄹ까,.,몇,,에,,겠,있,,어요,면서,,이,,1,,하,,,,,,,,,,,,,,,,,
발걸음,가,들,도,뭐,를,한번,,돌아가시,아,을,수,어리,지,.,여러,,에,,었,드리,,습니다,고,,이,,1,,하,,,,,,,,,,,,,,,,,
코로나,이,들,이야,우리,을,확실히,,아,아,ㄹ,것,귀하,는데,.,그,,에,,었,드리,,아요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
부모,가,들,만,뭐,을,잘,,겪,어,을,때문,크,아,.,그,,에,,더,가지,,잖아,고,,이,,1,,하,,,,,,,,,,,,,,,,,
존재,이,들,은,뭐,을,안,,꾀,다,는,가지,힘들,여,.,저,,에,,더,주,,지,고,,이,,2,,하,,,,,,,,,,,,,,,,,
부모,가,들,는,누구,을,대충,,있,다,는,것,그렇,는데,.,맨,,에,,더,주,,어요,면서,,이,,1,,하,,,,,,,,,,,,,,,,,
말,는,상,도,그것,을,잘,,아,다,는,씨,없,여,.,저,,에,,았,주,,죠,면서,,이,,3,,하,,,,,,,,,,,,,,,,,
마,이,들,는,우리,을,안,,하,어,ㄴ,하,이렇,는데,.,여러,,에,,었,가지,,고요,면서,,이,,6,,하,,,,,,,,,,,,,,,,,
즉흥적,이,성,도,그쪽,를,벌써,,그리하,어,ㄹ,씨,많,게,.,그,,에,,았,보,,잖아요,고,,이,,6,,하,,,,,,,,,,,,,,,,,
생각,이,쯤,은,그것,를,진짜,,아,ㄴ가,은,것,힘들,는데,.,그,,에,,었,드리,,내,고,,이,,1,,하,,,,,,,,,,,,,,,,,
생각,이,님,도,우리,을,왜,,아니,아,은,데,좋,어서,.,그,,에,,었,주,,에요,고,,이,,3,,하,,,,,,,,,,,,,,,,,
한동안,이,쯤,도,그쪽,을,그냥,,느,어,ㄹ,것,길,게,.,그,,에,,었,말,,어요,면서,,이,,2,,하,,,,,,,,,,,,,,,,,
부모,가,형,은,뭐,를,좀,,걷,어,ㄴ,데,그렇,니까,.,그,,에,,았,않,,잖아요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
존재,가,형,는,그거,를,좀,,아,어,ㄴ,것,없,는데,.,그,,에,,었,보,,거든요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
확인,은,들,도,그,를,이제,,하,아,는,거,힘들,게,.,그,,에,,었,있,,거든요,려면,,이,,3,,하,,,,,,,,,,,,,,,,,
계기,이,개,도,우리,을,잘,,생기,다,ㄹ,데,많,어,.,그,,로,,더,말,,어요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
선생님,이,들,도,우리,을,다,,합하,어,ㄴ,거,어리,어서,.,그런,,에,,았,있,,에요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
경우,이,님,는,그,를,그냥,,하,아,ㄹ,거,무섭,은데,.,그,,에,,었,않,,어요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
남편,이,들,도,뭐,를,또는,,치우치,아,는,수,많,니까,.,그,,에,,았,않,,잖아요,면서,,이,,2,,하,,,,,,,,,,,,,,,,,
분위기,이,들,는,그거,을,다,,받,ㄴ가,ㄹ,데,많,어서,.,몇,,에,,았,보,,죠,ㄴ데,,이,,2,,하,,,,,,,,,,,,,,,,,
시,는,들,도,그쪽,을,정말,,그러,아,을,쪽,많,게,.,뭔,,에,,었,보,,어요,고,,이,,2,,당하,,,,,,,,,,,,,,,,,
충격,이,들,도,언제,를,안,,당하,지,은,거,같,ㄹ까,.,그,,에,,더,나,,습니다,고,,이,,1,,하,,,,,,,,,,,,,,,,,
짐작,이,씩,도,우리,을,안,,이러,아,는,쪽,많,는데,.,그,,에,,었,보,,요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
경우,이,씩,는,이것,을,그냥,,힘들,아,ㄴ,쪽,많,으면,.,그,,에,,였,있,,어요,고,,이,,3,,하,,,,,,,,,,,,,,,,,
제사,이,들,는,나,를,다,,하,다,ㄴ,것,비싸,어야,.,몇,,서,,었,않,,지,고,,이,,2,,하,,,,,,,,,,,,,,,,,
성당,은,들,도,이것,한테,근데,,하,어,ㄴ,초,많,는데,.,이런,,서,,었,않,,더라,고,,이,,6,,하,,,,,,,,,,,,,,,,,
성당,가,용,는,나,를,안,,보시,ㄴ다,는,쪽,많,지,.,그,,서,,었,있,,요,고,,이,,7,,하,,,,,,,,,,,,,,,,,
식,이,들,는,저기,를,진짜,,세우,아,ㄹ,것,좋,게,.,그,,에서,,었,않,,죠,고,,이,,2,,하,,,,,,,,,,,,,,,,,
연미사,이,들,도,뭐,을,막,,세우,다,ㄴ,거,싸,어야,.,그,,로,,았,가지,,어요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
불교,가,들,도,뭐,을,안,,보시,어,은,쪽,이렇,여,.,그,,에,,었,않,,어요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
사람,이,째,는,뭐,을,딱,,들,다,ㄴ,거,그렇,여,.,그,,에,,았,않,,ㅂ니다,고,,이,,3,,하,,,,,,,,,,,,,,,,,
재,이,들,도,우리,을,이렇게,,있,ㄴ가,는,것,없,게,.,그,,에,,겠,놓,,고요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
동안,이,들,도,그,를,많이,,그리하,어,ㄹ,거,없,은데,.,어느,,에,,었,보,,어요,면서,,이,,4,,하,,,,,,,,,,,,,,,,,
성당,이,들,는,뭐,을,막,,채우,어,는,쪽,덥,라,?,그,,에서,,었,가지,,아요,고,,이,,5,,하,,,,,,,,,,,,,,,,,
동안,이,들,은,우리,를,막,,드시,어,은,것,춥,는데,?,그,,에,,았,보,,거든요,ㄴ다고,,이,,만,,하,,,,,,,,,,,,,,,,,
미사,가,들,는,뭐,를,먼저,,하,아,는,거,없,어,?,그,,에서,,었,않,,ㅂ니다,고,,이,,119,,하,,,,,,,,,,,,,,,,,
지향,가,들,는,뭐,를,훨씬,,잘하,아,는,데,많,은데,.,그,,에,,었,않,,어요,고,,이,,119,,하,,,,,,,,,,,,,,,,,
신청,가,들,도,우리,를,근데,,그러,어,을,거,좋,게,.,그,,에,,더,보,,라고요,고,,이,,119,,하,,,,,,,,,,,,,,,,,
엄마,이,들,도,우리,을,인제,,보살피,어,은,쪽,이렇,니까,.,그,,에,,였,가지,,어요,고,,이,,119,,되,,,,,,,,,,,,,,,,,
선생님,가,들,도,이것,을,점점,,주무시,어,ㄹ,쪽,비싸,게,.,그,,에,,었,않,,야지,고,,이,,십,,하,,,,,,,,,,,,,,,,,
차례,가,들,는,이것,을,그냥,,떠나,아,ㄹ,쪽,싸,지,.,그런,,에,,었,주,,어요,고,,이,,18,,하,,,,,,,,,,,,,,,,,
제사,가,들,도,우리,를,못,,그러,어,ㄹ,쪽,이렇,니까,?,그,,에,,었,가지,,죠,고,,이,,2,,하,,,,,,,,,,,,,,,,,
얼마,가,님,만,이거,을,또는,,가시,아,ㄴ,수,이렇,는데,.,그,,보고,,었,주,,라,면서,,이,,2,,하,,,,,,,,,,,,,,,,,
충격,이,들,는,그것,를,안,,쓰,ㄴ다,는,데,없,으니까,?,그,,에,,었,않,,라고요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
속,이,들,는,그것,을,분명히,,있,어,ㄴ,거,이렇,다가,?,그,,에,,였,보,,습니다,면요,,이,,하나,,하,,,,,,,,,,,,,,,,,
점,가,들,만,뭐,를,더,,당하,ㄴ다,ㄹ,수,부족하,으니까,.,몇,,로,,었,보,,아요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
제사,가,원,는,뭐,을,진짜,,있,지,을,거,그렇,아서,.,이런,,에,,았,보,,어요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
차례,가,들,는,뭐,를,안,,보,지,는,수,그,어,.,그런,,으로,,었,가지,,네,고,,이,,1,,하,,,,,,,,,,,,,,,,,
추석,가,로,는,우리,을,안,,가시,어,는,것,오래되,니까,.,그,,으로서,,었,않,,아요,고,,이,,3,,하,,,,,,,,,,,,,,,,,
걸,이,들,은,뭐,을,인제,,되,고,는,터,쪼그맣,게,.,그,,에,,었,보,,에요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
때,가,들,도,우리,한테,딱,,하,어,ㄴ,것,이렇,지,.,무슨,,에,,었,지,,죠,고,,이,,1,,하,,,,,,,,,,,,,,,,,
준비,이,들,는,뭐,을,좀,,날르,다,은,거,그,지,.,그,,에,,었,주,,어요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
계신,이,천,는,나,를,계속,,그러,어,ㄹ,거,이렇,아도,.,그,,에,,었,보,,어요,고,,이,,5,,하,,,,,,,,,,,,,,,,,
자제,이,천,도,뭐,을,계속,,그렇,다,ㄴ,것,똑같,다가,.,그,,으로,,았,지,,죠,고,,이,,5,,하,,,,,,,,,,,,,,,,,
생각,가,양,도,나,를,아무리,,하,어,는,수,그,어,.,몇,,에,,었,않,,라고요,고,,이,,12,,하,,,,,,,,,,,,,,,,,
생각,이,질,는,이것,을,진짜,,먹이,다,ㄹ,거,없,여,.,그,,로,,더,보,,아요,고,,이,,60,,하,,,,,,,,,,,,,,,,,
추석,가,들,도,그,한테,인제,,되,어,ㄴ,거,작,고서,.,그,,에,,았,나,,습니다,ㄴ데,,이,,1,,하,,,,,,,,,,,,,,,,,
주기도,이,들,도,뭐,을,인제,,그러,어,ㄴ,거,그렇,는데,.,그,,에,,었,않,,거든요,ㄴ데,,이,,하나,,하,,,,,,,,,,,,,,,,,
생각,이,들,는,언제,을,인제,,그렇,어,ㄴ,편,괜찮,는데,.,이런,,에,,었,가지,,어요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
걱정,이,끼리,든,우리,을,잘,,보내,어,는,것,작,니까,.,이,,에,,더,가지,,다,거나,,이,,30,,하,,,,,,,,,,,,,,,,,
어머니,이,끼리,만,뭐,을,진짜,,죽,어,ㄴ,것,비싸,으니까,.,그런,,에,,았,않,,어야지,고,,이,,100,,하,,,,,,,,,,,,,,,,,
얘기,가,들,은,우리,를,좀,,보내,아,ㄴ,것,같,게,.,그,,에,,었,나,,습니다,고,,이,,2,,하,,,,,,,,,,,,,,,,,
어머니,이,들,이나,뭐,을,좀,,그러,어,ㄹ,거,좋,는데,.,그,,에,,더,않,,어요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
병,은,들,는,뭐,한테,좀,,하,어,을,수,같,러,.,그,,으로,,았,않,,지,고,,이,,1,,하,,,,,,,,,,,,,,,,,
경우,가,들,은,우리,를,좀,,되,어,을,수,그렇,니까,.,그,,로,,었,주,,어요,고,,이,,2,,하,,,,,,,,,,,,,,,,,
친정,가,들,는,뭐,을,왜,,하,어,은,거,같,는데,.,그,,에서,,겠,주,,ㄴ걸요,면,,이,,1,,하,,,,,,,,,,,,,,,,,
엄마,가,들,는,그,을,분명,,가,어,ㄴ,내,다르,게,.,그,,에,,었,주,,어요,면,,이,,3,,하,,,,,,,,,,,,,,,,,
지금,이,들,는,거기,을,많이,,받,어,ㄴ,거,괜찮,니까,.,그,,에,,았,주,,잖아요,고,,이,,1,,되,,,,,,,,,,,,,,,,,
거동,이,장이,은,어디,을,다,,사,아,을,수,아프,게,.,그,,마따나,,더,주,,잖아요,고,,이,,3.4,,하,,,,,,,,,,,,,,,,,
외출,이,들,도,거기,을,잘,,그러,게,은,때문,같,지,.,그런,,에,,겠,주,,에요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
화장실,가,들,도,여기,를,못,,받,어,는,거,그렇,지,.,그,,에,,었,주,,ㄹ게요,면서,,이,,1,,되,,,,,,,,,,,,,,,,,
밥,이,들,은,저기,을,그냥,,살,어,는,거,괜찮,어서,.,그,,에,,었,주,,세요,자,,이,,1,,되,,,,,,,,,,,,,,,,,
식사,이,장이,는,우리,를,그냥,,있,어,을,거,같,다가,.,여러,,에,,었,주,,아요,자,,이,,12,,하,,,,,,,,,,,,,,,,,
정도,이,들,도,거기,을,이제,,하,어,ㄹ,것,그렇,는데,.,그,,에,,었,보,,거든요,고,,이,,1,,하,,,,,,,,,,,,,,,,,
티브이,가,들,는,거기,를,쪼끔,,하,어,는,거,젊,더니,.,그,,에,,었,보,,ㄴ다,고,,이,,3,,하,,,,,,,,,,,,,,,,,
티브이,이,장이,는,거기,을,씩,,가,어,는,거,좋,더니,.,무슨,,에,,었,않,,거든요,면,,이,,11,,하,,,,,,,,,,,,,,,,,
정도,가,네,는,거기,을,많이,,이러,어,ㄹ,야,좋,여,.,그,,에,,더,있,,다,면서,,이,,12,,하,,,,,,,,,,,,,,,,,
형제,이,들,는,거기,을,안,,움직이,고,ㄹ,등,귀찮,여,.,그,,에,,었,않,,습니다,고,,이,,1,,하,,,,,,,,,,,,,,,,,
사,이,들,은,그,을,참,,갈,어,을,거,많,어서,?,어느,,서,,었,보,,에요,자,,이,,2,,하,,,,,,,,,,,,,,,,,
형제,이,들,도,거기,을,또,,하,다,는,것,그렇,라,.,그,,보다,,더,않,,에요,고,,이,,6,,하,,,,,,,,,,,,,,,,,
자기,가,네,은,우리,를,진짜,,오,어,ㄴ,데,그렇,지,.,그,,서,,었,주,,어요,자,,이,,5,,하,,,,,,,,,,,,,,,,,
일,은,네,는,우리,을,서로,,갈,아,ㄴ,땜,크,다가,.,그런,,에서,,었,주,,ㄴ다,고,,이,,삼,,하,,,,,,,,,,,,,,,,,
엄마,이,들,은,그,을,막,,갈,아,ㄴ,것,어떻,니까,.,그,,에,,더,있,,에요,자,,이,,삼,,하,,,,,,,,,,,,,,,,,
