NNP,XSN,JKS,NNG,JX,NP,JKO,MAG,VCP,EC,VV,ETM,NNB,VA,EF,SF,MM,JKG,JKB,MAJ,EP,VX,JKC,VCN,XSV,VV-R,VA-I,VV-I,IC,SN,XSA,NR,JKQ,XR,XPN,ETN,JC,SL,XSA-I,VA-R,Z_CODA,JKV,XSM
키우,님,가,기,도,나,을,참,이,니까,맡기,ᆯ,개,힘들,지,.,그,,에서,그러니까,었,하,,,하,,이렇,,아니,1,,,,,,,,,,,,,
정,들,이,부모,도,어디,을,어,이,기,보내,은,거,좋,더라고,.,그,,에서,그리고,었,못하,,,되,,이렇,,그,1,,,,,,,,,,,,,
정,님,가,남편,요,이것,을,잘,이,고,쓰,는,것,많,지,.,이런,,서,그리고,었,않,,,하,,그렇,,어,1,,,,,,,,,,,,,
동물병원,님,가,행동,은,나,를,더,이,어야,보,ᆯ,것,같,잖아,.,그런,,에서,그런데,었,않,,,하,,저렇,,어,1,,,,,,,,,,,,,
압구정,님,가,말,는,아무,를,반짝반짝,이,어야,미루,은,것,귀찮,네,.,이런,,에서,그리고,었,가,,,하,,저렇,,그래,180,,,,,,,,,,,,,
유,들,이,생각,은,거기,를,꼭,이,나,떠나,는,쪽,싫,더라고,.,그런,,에서,그리고,었,하,,,하,,이렇,,아,9988,,,,,,,,,,,,,
한강,들,이,때,은,그,을,너무,이,니까,이러,을,것,같,어,.,이런,,에,그리고,겠,보,,,하,,이렇,,아,123,,,,,,,,,,,,,
한강,들,가,옛날,은,누구,를,더욱더,이,래요,맡,은,것,힘들,지,.,무슨,,에,그리고,었,보,,,하,,그렇,,그래,1,,,,,,,,,,,,,
카톡,들,이,마음,는,나,을,이제,이,다시피,보,ᆫ,것,없,지,.,고런,,에,그래서,었,싶,,,하,,이렇,,아우,2,,,,,,,,,,,,,
심,들,이,고생,도,나,를,오히려,이,니까,돌아가,는,나름,없,다니까,.,어떤,,보다,그래서,겠,보,,,하,,이렇,,아유,4,,,,,,,,,,,,,
서,님,이,행복,은,나,을,더,이,어야,하,는,거,어리,더라고,.,그런,,에서,그리고,겠,않,,,하,,그렇,,아,9988,,,,,,,,,,,,,
박영,들,이,집,은,그것,을,또,이,은데,하,ᆯ,뿐,크,지,?,이,,에,그러니까,었,놓,,,되,,어렵,,뭐,70,,,,,,,,,,,,,
어,들,가,문,도,이것,을,왜냐하면,이,게,찌푸리,ᆯ,식,똑같,더라고,.,그,,에,그래서,었,보,,,하,,이렇,,글쎄,111,,,,,,,,,,,,,
대치역,적,이,저쨌,도,나,을,다,이,ᆫ데,되,는,거,이쁘,지,.,그,,서,근데,었,하,,,하,,그렇,,응,1,,,,,,,,,,,,,
남,률,이,말,도,나,을,특히,이,고,보,는,거,멍청하,잖아,.,이런,,에,그래서,었,가지,,,하,,그렇,,음,1,,,,,,,,,,,,,
이,화,가,프로,은,나,을,물론,이,ᆫ데,보,ᆫ,것,세,지,.,한,,에,그래서,었,놓,,,하,,이렇,,참,2,,,,,,,,,,,,,
수목장,들,이,사람,는,나,을,특히,이,어도,하,ᆯ,거,없,더라고,.,이,,에,그래서,겠,가지,,,되,,이렇,,내,2,,,,,,,,,,,,,
경북,들,이,경제,는,나,을,지금,이,게,하,는,것,순하,다,.,이,,에,그리고,었,가지,,,되,,그렇,,아,30,,,,,,,,,,,,,
경북,분,이,마음,도,나,를,이제,이,니까,하,을,거,순하,네,.,이,,에,근데,었,가지,,,하,,어떻,,뭐,2,,,,,,,,,,,,,
서울,들,가,사람,은,나,을,지금,이,어,보내,는,간,있,지,.,그,,에,근데,었,놓,,,하,,그렇,,아,1,,,,,,,,,,,,,
서울,들,이,결혼,든지,얘,를,아무래도,이,고,모르,는,번,좋,어,.,그,,한테,그리고,었,보,,,하,,그렇,,와,2,,,,,,,,,,,,,
경북,들,이,나이,도,나,를,인제,이,니,가,ᆯ,거,좋,다,.,외딴,,에,그리고,었,하,,,하,,어떻,,뭐,1,,,,,,,,,,,,,
경상북도,네,가,혼자,도,뭐,를,당연히,이,고,되,는,거,있,더라고,.,그런,,에,근데,었,가지,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
상주,들,이,신랑,은,뭐,을,다만,이,니까,대하,ᆯ,간,나쁘,어,.,그런,,로,그래서,었,가지,,,하,,그렇,,뭐,2,,,,,,,,,,,,,
서울,들,가,나,은,우리,를,이제,이,다면,하,는,거,아프,잖아,.,그런,,로,그래서,었,하,,,하,,이렇,,오,3,,,,,,,,,,,,,
서울,이,가,독립,부터,거,를,굉장히,이,어서,계시,는,거,아프,야,.,그런,,서,그러면,었,가지,,,하,,이렇,,아,1,,,,,,,,,,,,,
서울,들,이,문제,만,나,을,더,이,ᆫ데,모시,ᆫ,거,없,어,.,그,,서,그리고,었,가지,,,하,,가깝,,어,1,,,,,,,,,,,,,
서울,끼리,이,아들,도,나,를,많이,이,면,돌아가,을,거,같,다,.,새,,에,근데,었,가지,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
경상북도,들,이,독립,ᆫ,어디,을,그만큼,이,고서,쇠,ᆯ,거,없,지,.,그런,,에,근데,었,보,,,되,,그렇,,뭐,1,,,,,,,,,,,,,
상주,끼리,이,생각,은,우리,을,결국,이,어서,쇠하,는,것,싫,잖아,.,새,,에,그런데,었,보,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
서울,들,가,연습,만,우리,를,얼마나,이,으니까,드리,ᆫ,때문,좋,어,.,그,,에,그리고,었,하,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
노,끼리,이,날,만,자기,을,또,이,고,가,는,거,같,어,.,그런,,에,그래서,겠,않,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
서울,들,이,엄마,도,우리,ᆯ,좀,이,고,하,는,거,있,어,.,그,,에,그래서,었,하,,,하,,그렇,,뭐,40,,,,,,,,,,,,,
서울,씩,가,선풍기,도,너희,을,더,이,어서,들,ᆫ,것,좋,지,.,그,,에,근데,겠,가지,,,하,,그렇,,와,100,,,,,,,,,,,,,
진명,적,이,엄마,은,우리,을,아마,이,어,있,ᆫ,것,좋,더라고,.,그런,,으로,하여튼,었,가지,,,하,,이렇,,어,6,,,,,,,,,,,,,
이화,님,가,이,도,우리,을,많이,이,는데,계시,는,거,같,냐,.,그,,서,그리고,었,가지,,,하,,그렇,,아,1,,,,,,,,,,,,,
진명,들,이,공기,는,우리,을,스스로,이,다고,그러,ᆫ,거,좋,더라고,.,그,,에서,그리고,었,보,,,하,,무섭,,어,1,,,,,,,,,,,,,
진명,들,이,청정기,은,나,을,인제,이,지만,오,을,거,있,야,.,그,,에,근데,었,있,,,하,,무섭,,참,1,,,,,,,,,,,,,
서울,상,이,엄마,도,우리,를,또,이,어야,돌아가,는,거,이쁘,어,.,그,,보고,그래서,었,싶,,,하,,이렇,,어,1,,,,,,,,,,,,,
서울,들,이,엄마,은,우리,을,아주,이,는데,겪,ᆯ,거,있,어,.,이,,한테,그래서,었,오,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
이화,들,이,때,도,우리,를,많이,이,면,있,는,거,없,거든,.,이,,에,근데,었,있,,,하,,그렇,,어,7,,,,,,,,,,,,,
이화,끼리,이,말,도,저놈,ᆯ,사실,이,고,하,는,줄,없,는가,.,그런,,에,아님,었,있,,,하,,그렇,,어,10,,,,,,,,,,,,,
서울,적,가,순간,만,저,을,일단,이,고,걸,ᆯ,거,없,더라고,.,이런,,에서,그래서,었었,있,,,하,,그렇,,이,1,,,,,,,,,,,,,
서울역,적,이,가슴,는,그것,를,사실,이,어서,그러,ᆫ다는,거,같,어,.,그런,,에,그런데,었,보,,,하,,그렇,,어,1,,,,,,,,,,,,,
서울역,들,이,마음,은,우리,ᆯ,여태,이,라든가,하,던,거,좋,ᆫ다니까,.,몇,,에,그리고,겠,주,,,하,,그렇,,어,10,,,,,,,,,,,,,
서울역,적,이,눈물,도,너,을,사실,이,ᆫ지,생기,는,거,없,더라고,.,그,,에,그래도,었,주,,,하,,이렇,,응,17,,,,,,,,,,,,,
서울,째,가,연습,만,거기,를,좀,이,어,합하,ᆫ,거,같,어,.,그,,에,그러니까,었,있,,,하,,이렇,,아,17,,,,,,,,,,,,,
서울,들,가,나중,도,우리,를,지금,이,고,하,ᆫ,년,있,고,.,그,,에,그래도,었,않,,,하,,그렇,,어,1,,,,,,,,,,,,,
서울,님,이,신랑,도,그것,을,쪼끔,이,는데,치우치,ᆫ,거,좋,더라고,.,그,,한테,그러니까,었,보,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
서울,계,이,혼자,도,자기,을,인제,이,다가,당하,ᆫ,데,싸,야,.,그런,,에,근데,었,가지,,,하,,이렇,,응,1,,,,,,,,,,,,,
서울,계,가,마음,은,그거,을,쪼금,이,어서,하,ᆫ,거,있,어,.,그,,에다,그래서,었,있,,,하,,어떻,,뭐,1,,,,,,,,,,,,,
장,들,이,마음,은,나,을,조금,이,는가,하,ᆫ,것,괜찮,야,.,그,,에,근데,었,달,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
정동,어치,이,혼자,는,우리,를,더,이,다,세우,ᆫ,데,틀리,는데,.,무슨,,에서,근데,었,있,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
콰이강의 다리,끼리,가,집,를,이거,을,이제,이,고,세우,는,데,없,네,.,여러,,에서,근데,었,가지,,,하,,어떻,,뭐,1,,,,,,,,,,,,,
경주,들,가,아들,은,그쪽,를,꼭,이,면,들,은,거,크,어,.,그,,에서,그래서,었,가지,,,하,,덥,,아,8,,,,,,,,,,,,,
경주,계,가,며느리,은,그것,을,이제,이,지,채우,은,번,없,어,.,그,,하고,그래서,었,나,,,하,,그렇,,음,1,,,,,,,,,,,,,
경주,들,가,애,는,나,을,좀,이,고,드시,ᆫ,번,없,지,.,그,,에,근데,었,하,,,하,,어떻,,그렇지,3,,,,,,,,,,,,,
첨성대,들,가,생각,도,나,를,더,이,게,하,ᆫ다는,분,힘들,어,.,그,,에,그러니까,었,가지,,,하,,그렇,,뭐,4,,,,,,,,,,,,,
불국사,들,가,요새,까지,나,를,좀,이,ᆫ데,하,은,데,좋,어,.,그,,하고,그리고,었,있,,,하,,그렇,,아휴,3,,,,,,,,,,,,,
정동,적,가,때,까지,나,를,많이,이,다가,보살피,ᆯ,마리,같,더라고,.,그,,에,그래도,었,버리,,,하,,그렇,,그,4,,,,,,,,,,,,,
미국,들,이,신랑,는,나,을,사실상,이,게,계시,는,놈,힘들,잖아,.,그,,에서,근데,었,있,,,하,,그렇,,아유,19,,,,,,,,,,,,,
효자동,님,이,얘기,도,나,를,다,이,고,주무시,ᆯ,마리,같,으,.,이런,,에서,그래서,었,있,,,하,,이렇,,아,20,,,,,,,,,,,,,
중앙청,쯤,이,경제,도,그것,을,안,이,고,떠나,는,마리,있,야,.,한,,에,그래도,었,놓,,,하,,낫,,어,1,,,,,,,,,,,,,
중앙청,성,이,뒷받침,은,저기,을,이제,이,ᆫ데,가,ᆯ,년,풍족하,야,.,그,,서,근데,었,보,,,하,,낫,,그,10,,,,,,,,,,,,,
천안,성,이,논의,까지,우리,를,잘,이,고,쓰,는,번,같,더라고,.,내,,으로,그리고,었,하,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
홍성,들,이,말,나,나,를,이렇게,이,어서,당하,ᆫ,것,힘들,더라고,.,그,,하고,그러니까,었,놓,,,하,,이렇,,어,80,,,,,,,,,,,,,
서울,들,가,나중,도,나,를,각자,이,어,보,ᆯ,데,같,어,?,그,,에,그리고,었,있,,,하,,이렇,,뭐,5,,,,,,,,,,,,,
광화문,들,이,소리,도,나,을,인제,이,어,가,는,것,좋,고,.,그,,에,그리고,었,놓,,,하,,쉽,,그,60,,,,,,,,,,,,,
제주도,쯤,이,마음,요,뭐,을,요즘,이,고,되,는,거,같,더라고,?,그,,서,그래서,었,있,,,하,,이렇,,인제,3,,,,,,,,,,,,,
제주도,들,이,혼자,는,뭐,을,소위,이,고서,하,는,마리,좋,지,.,그,,에,근데,겠,가지,,,하,,어떻,,뭐,2,,,,,,,,,,,,,
제주도,분,이,고생,도,나,를,더,이,고,나,는,년,있,어,.,새,,에,그러니까,었,있,,,하,,이렇,,뭐,3,,,,,,,,,,,,,
제주도,생,이,애,도,그것,을,안,이,어,그러,은,원,같,더라고,.,그,,에,그리고,었,있,,,하,,그렇,,인제,2,,,,,,,,,,,,,
제주도,들,가,대우,은,뭐,을,지금,이,고,하,ᆯ,데,같,어,.,그,,서,근데,었,가지,,,하,,이렇,,뭐,9,,,,,,,,,,,,,
장,들,가,아빠,도,우리,을,일단,이,는데,먹이,는,거,있,네,.,그,,에,그래서,었,놓,,,하,,이렇,,오냐오냐,9,,,,,,,,,,,,,
제주도,님,가,아기,도,이것,를,혹은,이,는데,되,는,중,같,어,.,그런,,에서,그래서,었,있,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
제주도,들,가,의논,는,뭐,를,다,이,니까,보내,은,거,좋,야,.,그,,에,그래서,었,있,,,하,,그렇,,어,8,,,,,,,,,,,,,
제주,들,이,요즘,은,그거,을,다,이,어야,죽,는,것,있,네,.,그,,에서,그러면,었,가지,,,하,,이렇,,뭐,16,,,,,,,,,,,,,
인수봉,들,가,생각,은,우리,을,아주,이,다,보내,ᆯ,거,괜찮,네,.,그,,에,그래서,었,있,,,하,,그렇,,뭐,16,,,,,,,,,,,,,
인수봉,적,가,둘째,도,우리,을,혹은,이,다가,그러,ᆯ,마리,같,야,.,그,,에,그래서,었,않,,,하,,어떻,,뭐,1,,,,,,,,,,,,,
군산,들,이,어른,도,우리,ᆯ,안,이,어야,하,는,것,크,거든,.,그,,한테,근데,었,싶,,,하,,이렇,,뭐,50,,,,,,,,,,,,,
군산,들,이,이해,도,그것,를,뜻밖에,이,으니까,되,을,것,없,어,.,그,,에,그래서,었,있,,,하,,이렇,,네,50,,,,,,,,,,,,,
선유도,들,이,나이,는,그것,을,오히려,이,다가,하,다는,번,같,어,.,그,,에,그래서,었,있,,,하,,그렇,,인제,1,,,,,,,,,,,,,
오,성,이,이름,도,우리,을,똑같이,이,게,가,는,년,같,어,.,그런,,에,근데,었,있,,,하,,그렇,,인제,50,,,,,,,,,,,,,
군산,들,이,형,도,나,을,지금,이,면서,살,ᆯ,년,있,구나,.,딴,,에서,그래서,었,있,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
제주도,들,가,동생,는,나,를,이제,이,다,살,는,거,있,지,.,몇,,로,그래서,었,있,,,하,,그렇,,인제,50,,,,,,,,,,,,,
인수봉,시,가,일,는,그거,을,인제,이,어서,하,는,번째,같,어,?,그,,으로,근데,었,싶,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
군산,들,이,의논,도,우리,를,결국,이,니까,하,ᆯ,번째,같,어요,.,몇,,서,그래서,었,만들,,,하,,어떻,,어,2,,,,,,,,,,,,,
유,님,가,미안,도,나,을,잘,이,게,가,는,번,좋,어,.,그런,,에서,그리고,었었,보,,,하,,그렇,,저,1,,,,,,,,,,,,,
제주도,님,가,마음,요,저쪽,을,잘,이,어,이러,는,번,젊,어,.,이,,에서,그래서,었,보,,,하,,그렇,,뭐,4,,,,,,,,,,,,,
제주도,님,이,신랑,는,그쪽,를,오늘,이,더라도,움직이,는,마리,있,대,.,저,,에,그러고,었,있,,,하,,이렇,,뭐,2,,,,,,,,,,,,,
제주도,님,이,혼자,도,우리,을,안,이,게,가,는,거,같,더라고,.,그,,에서,그래서,었,않,,,하,,그렇,,인제,1,,,,,,,,,,,,,
제주도,성,이,엄마,도,우리,을,내일,이,고,하,ᆯ,놈,좋,다고,.,그,,에,근데,었,보,,,하,,그렇,,뭐,3,,,,,,,,,,,,,
제주,님,가,교육,은,우리,을,수시로,이,면서,오,는,마리,좋,네,.,그,,에,근데,었,있,,,되,,그렇,,아,3,,,,,,,,,,,,,
서해,님,가,색시,은,그것,를,한번,이,어서,가,ᆯ,거,확실하,야,.,그,,에,근데,었,내,,,하,,그렇,,아,3,,,,,,,,,,,,,
선유도,님,이,때,은,나,을,특히,이,고,가,ᆯ,마리,있,잖아,.,한,,한테,그래서,겠,보,,,되,,그렇,,아,1,,,,,,,,,,,,,
연륙교,적,가,연애,요,나,을,처음,이,고,가,는,놈,같,어,.,이런,,에서,그래서,었,주,,,하,,그렇,,네,2,,,,,,,,,,,,,
군산,들,이,때,는,그것,을,잘,이,고,시키,은,마리,많,어요,.,그,,하고,그래서,었,싶,,,하,,이렇,,뭐,1,,,,,,,,,,,,,
중선,들,가,결혼,는,나,를,사실,이,어서,계시,ᆫ,마리,같,어,.,저,,하고,그리고,었,주,,,하,,그렇,,인제,1,,,,,,,,,,,,,
선유도,들,가,가족,도,나,을,암튼,이,니까,불구하,는,놈,늦,어야지,?,여러,,에다,근데,었,있,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
선유,들,이,관계,도,나,를,이제,이,고,가,는,거,같,어,.,그,,에,그리고,었,가지,,,하,,아쉽,,뭐,10,,,,,,,,,,,,,
고군산열도,들,이,신랑,도,우리,를,또,이,게,하,ᆫ,번,좋,어요,.,여러,,에서,그리고,었,주,,,하,,그렇,,예,5,,,,,,,,,,,,,
한국,들,이,가족,도,걔,을,이제,이,는데,가,ᆯ,놈,같,지,.,한,,에,그래서,었,싶,,,하,,가깝,,그,2,,,,,,,,,,,,,
고,들,가,관계,는,자기,를,좀,이,게,하,ᆯ,것,같,야,.,다른,,에,근데,었,않,,,하,,그렇,,뭐,2,,,,,,,,,,,,,
이태리,들,이,엄마,은,우리,을,더,이,는데,지나,는,거,없,야,.,그런,,에,그래서,었,있,,,하,,그렇,,어,2,,,,,,,,,,,,,
이태리,님,가,얼마,요,나,를,딱,이,어서,하,ᆯ,지,많,어요,.,그런,,에,그래서,었,싶,,,하,,그렇,,뭐,3,,,,,,,,,,,,,
스페인,들,가,시기,나,나,을,잘,이,어서,보내,는,년,많,어,.,그,,에서,그러니까,었,두,,,하,,그렇,,뭐,2,,,,,,,,,,,,,
스페인,상,이,아이,요,저,를,당연히,이,게,가,는,것,없,나,.,다른,,에,그리고,었었,있,,,하,,이렇,,뭐,3,,,,,,,,,,,,,
스페인,째,이,룰,은,나,를,좀,이,고,오,ᆯ,것,좋,ᆫ가,.,그,,에,그러면,었,보,,,하,,그렇,,어,2,,,,,,,,,,,,,
플라멩고,들,가,말,ᆫ,나,을,많이,이,ᆫ지,보,ᆯ,거,같,어,.,그,,에,그래서,었,보,,,하,,이렇,,뭐,2,,,,,,,,,,,,,
스페인,들,이,말,는,이것,을,별로,이,어,변하,ᆫ,터,다르,어,.,그런,,에,그래서,었,가지,,,되,,이렇,,뭐,10,,,,,,,,,,,,,
알함브라,들,이,생각,는,나,ᆯ,못,이,고,지나,은,번,다르,어,.,그,,에,근데,었,보,,,하,,반갑,,뭐,11,,,,,,,,,,,,,
스페인,들,가,애,도,나,를,안,이,는데,받아들이,ᆯ,것,같,어,.,딴,,에,그래서,었,가지,,,하,,이렇,,인제,6,,,,,,,,,,,,,
이태리,님,가,애,는,나,를,못,이,고,하,는,거,젊,어,.,그런,,에,그리고,었,오,,,하,,그렇,,뭐,8,,,,,,,,,,,,,
스위스,들,가,딸내미,는,그것,ᆯ,지금,이,고,하,ᆫ다는,일,많,어,.,어떤,,에,그래서,었,싶,,,하,,고맙,,아,11,,,,,,,,,,,,,
스위스,들,가,고생,도,그것,를,정말,이,어서,스,ᆫ,것,같,지,.,그,,에서,그래서,었,있,,,하,,이렇,,인제,3,,,,,,,,,,,,,
오비,들,이,생각,도,나,을,그냥,이,게,하,ᆯ,거,같,야,.,어떤,,과,그래도,었,싶,,,하,,어떻,,뭐,2,,,,,,,,,,,,,
이르,들,이,시집,도,그거,ᆯ,혹은,이,어야,그러,는,수,없,다,.,한,,에서,또,었,싶,,,하,,그렇,,뭐,1,,,,,,,,,,,,,
제주도,들,이,아기,도,자기,ᆯ,좀,이,고,있,은,거,같,야,.,그런,,에,그래서,었,보,,,하,,그렇,,뭐,8,,,,,,,,,,,,,
제주도,적,가,요즘,는,나,을,아까,이,고,도맡,은,데,좋,야,.,어떤,,에,그래서,었,보,,,하,,그렇,,그,4,,,,,,,,,,,,,
제주도,들,가,생각,는,걔,을,또,이,고,하,은,가지,힘들,어,.,그,,에,근데,었,보,,,하,,이렇,,인제,1,,,,,,,,,,,,,
제주도,들,이,요즘,는,자기,을,많이,이,어서,있,는,놈,힘들,ᆫ데,.,저,,에,그러니까,었,있,,,하,,그렇,,아,2,,,,,,,,,,,,,
제주,들,이,경제,는,저,을,지금,이,고,하,은,것,좋,더라고,.,몇,,로,그래서,었,있,,,하,,이렇,,인제,2,,,,,,,,,,,,,
서울,들,이,우,는,저,를,좀,이,다가,살,ᆯ,원,좋,구나,.,한,,에,그래서,었,않,,,하,,이렇,,음,2,,,,,,,,,,,,,
서울,들,가,절반,도,저,을,아까,이,ᆫ데,떨어지,은,마리,좋,야,.,한,,에,그러면,었,있,,,하,,그렇,,아유,60,,,,,,,,,,,,,
접근성,적,이,미혼,는,여기,을,이제,이,고,사,ᆯ,마리,힘들,지,.,한,,에,근데,었,보,,,하,,그렇,,그래,30,,,,,,,,,,,,,
광릉,님,이,절반,는,그것,를,좀,이,고,살,는,마리,힘들,지,.,이런,,에,그래서,었,하,,,하,,그렇,,뭐,30,,,,,,,,,,,,,
접근성,님,가,아기,도,저,을,더,이,어,보내,은,거,같,어,.,어떤,,에,그리고,었,하,,,되,,어떻,,그,16,,,,,,,,,,,,,
조선,님,이,우리나라,는,저,을,이렇게,이,면,가,는,마리,젊,어요,?,그,,으로,근데,었,싶,,,하,,그렇,,인제,40,,,,,,,,,,,,,
세조,님,이,생각,까지,나,ᆯ,좀,이,어,바라,는,원,편하,어,.,그,,으로,그런데,었,않,,,하,,그렇,,뭐,30,,,,,,,,,,,,,
광릉,들,가,경제,는,우리,을,한번,이,으면,보살피,는,원,많,어,.,그런,,에,근데,었,싶,,,하,,이렇,,뭐,16,,,,,,,,,,,,,
세조,들,이,결혼,ᆫ,거기,을,실제로,이,는데,하,는,거,힘들,야,.,그런,,에,그리고,었,않,,,하,,그렇,,뭐,46,,,,,,,,,,,,,
제주도,째,이,전,는,그거,을,지금,이,지만,오,는,적,있,어요,.,그,,서,왜냐하면,었,주,,,되,,그렇,,글쎄,60,,,,,,,,,,,,,
제주도,들,이,아기,은,저,을,좀,이,으니까,오,ᆫ,거,같,어,?,그런,,에,그런데,었,않,,,하,,저렇,,인제,30,,,,,,,,,,,,,
제주도,들,이,출산,ᆫ,저,을,더,이,어서,되,을,거,있,어,.,그런,,에,그래서,었었,보,,,하,,어떻,,아,16,,,,,,,,,,,,,
제주도,들,이,국가,도,그거,을,또,이,어서,되,는,적,젊,어요,.,그,,에,그래도,었,하,,,하,,그렇,,저,4,,,,,,,,,,,,,
부천,네,가,생각,도,저,을,쪼끔,이,어서,되,ᆫ,거,많,어,.,그,,에,그런데,었,보,,,되,,그렇,,뭐,1,,,,,,,,,,,,,
온수역,들,이,나라,는,나,을,좀,이,ᆫ데,되,는,년,싫,지,.,그,,에서,그리고,었,보,,,하,,덥,,뭐,1,,,,,,,,,,,,,
기화목,화,이,출산,도,그거,을,덜,이,어,대하,는,번,있,어,.,그,,에,근데,었,싶,,,하,,그렇,,이제,11,,,,,,,,,,,,,
까치울역,들,이,국가,도,나,를,요즘,이,니까,오,는,식,있,어,.,다른,,에,그런데,겠,보,,,하,,이렇,,뭐,11,,,,,,,,,,,,,
서울숲,들,가,생산,도,이거,을,이렇게,이,어,들,는,통,있,어,.,그,,으로,근데,었,보,,,하,,밉,,뭐,11,,,,,,,,,,,,,
서울숲,네,가,인구,도,저,을,많이,이,게,하,는,수,없,야,?,그,,에,그래서,었,싶,,,하,,그렇,,뭐,3,,,,,,,,,,,,,
서울숲,들,이,소비,도,그거,을,이리,이,는지,갖,는,때문,힘들,구나,.,몇,,에,근데,었,않,,,하,,그렇,,뭐,4,,,,,,,,,,,,,
성수고등학교,들,가,인구,은,우리,을,사실,이,게,오,ᆯ,도,있,어,.,그런,,한테,그래서,었,않,,,하,,어떻,,뭐,11,,,,,,,,,,,,,
서울숲,들,가,경제,는,자기,을,아주,이,어,살,ᆫ,점,있,어,.,두,,한테,그래도,었,하,,,하,,어떻,,하,30,,,,,,,,,,,,,
태릉입구역,네,이,안정,도,저,를,또,이,고,하,는,거,많,ᆫ지,.,두,,한테,그래,었,싶,,,하,,그렇,,그,1,,,,,,,,,,,,,
중화역,들,가,노령,은,나,을,한번,이,는데,하,는,것,같,고,.,그,,에,근데,었,하,,,하,,그렇,,뭐,2,,,,,,,,,,,,,
서울,들,이,인구,는,나,을,물론,이,어서,떨어지,는,것,같,어,.,두,,로,그리고,었,하,,,하,,그렇,,뭐,2,,,,,,,,,,,,,
자양역,네,이,노령,은,여기,을,이제,이,어서,걸,는,것,같,더라고,.,그,,서,근데,었,있,,,하,,그렇,,아,3,,,,,,,,,,,,,
서울시,들,가,인구,이나,저희,을,자주,이,고,가,는,이,편하,는다,.,그,,으로,그러니까,었,하,,,하,,그렇,,인제,1,,,,,,,,,,,,,
선능,들,가,집,은,나,을,너무나,이,고,타,ᆯ,일,같,어,.,그런,,에,근데,었,않,,,하,,저렇,,네,2,,,,,,,,,,,,,
선정릉역,들,가,노인,요,그쪽,을,오히려,이,다가,가,는,데,많,야,.,그런,,으로,그러니까,었,않,,,하,,그렇,,인제,11,,,,,,,,,,,,,
선정릉,들,가,일자리,도,거기,을,갓,이,고,되,는,거,있,야,.,어떤,,에,그래서,었,보,,,하,,그렇,,뭐,11,,,,,,,,,,,,,
선정릉,들,이,활동,만,저,를,상당히,이,어서,가,는,것,있,네,.,그,,에,그래서,었,않,,,하,,그렇,,뭐,4,,,,,,,,,,,,,
서울,네,이,영업,은,저,을,좀,이,어,타,다는,수,같,더라고,.,그런,,처럼,그런데,었,않,,,하,,놀랍,,뭐,3,,,,,,,,,,,,,
남산,들,이,정년,ᆫ,저,을,물론,이,고,기다리,는,거,다르,잖아,.,이런,,에,그러니까,었,않,,,하,,그렇,,그,20,,,,,,,,,,,,,
남산,들,이,사람,ᆫ,저,을,물론,이,는데,되,는,거,다르,지,.,이런,,하고,그래서,었,오,,,하,,놀랍,,인제,5,,,,,,,,,,,,,
타워,네,이,공원,도,저,을,이리,이,다,있,ᆫ,거,다르,어,.,그런,,에,근데,었,있,,,하,,노랗,,그,30,,,,,,,,,,,,,
신라,들,가,밖,마다,저,을,쭉,이,니까,하,는,거,다르,어,?,어느,,에,그러니까,었,있,,,하,,노랗,,뭐,1,,,,,,,,,,,,,
장충체육관,들,가,복지,은,저,을,또,이,어도,다니,ᆫ,쪽,많,어,?,그,,에,그러니까,었,하,,,하,,안타깝,,뭐,1,,,,,,,,,,,,,
해방촌,들,이,회관,라도,저,를,또,이,지,오,는,거,크,거든,.,그,,에,그러니까,었,지,,,하,,그렇,,그,1,,,,,,,,,,,,,
남산,화,이,텃세,는,우리,을,안,이,어야,가,ᆫ,거,없,구나,.,그,,에,그래서,시,보,,,하,,그렇,,그,2,,,,,,,,,,,,,
남산,화,이,텃세,는,자기,을,이렇게,이,ᆫ다,하,는,것,다르,ᆯ까,.,그,,에다,그래서,었,나가,,,하,,그렇,,그,1,,,,,,,,,,,,,
서울,들,이,사람,든지,나,를,쭉,이,는데,되,은,거,같,어,.,그,,에,그러니까,었,않,,,하,,덥,,뭐,2,,,,,,,,,,,,,
민,들,이,사람,도,저,를,또,이,면,걸어가,ᆯ,것,있,ᆫ가,.,저,,보다,그러니까,었,오,,,하,,가깝,,뭐,2,,,,,,,,,,,,,
민,네,이,생계,는,이것,를,이제,이,으러,택하,는,거,같,어,.,그,,에,근데,었,있,,,하,,가깝,,뭐,1,,,,,,,,,,,,,
